:,ArchiveStreamFactory_ESTest::test00,ArchiveStreamFactory_ESTest::test01,ArchiveStreamFactory_ESTest::test02,ArchiveStreamFactory_ESTest::test03,ArchiveStreamFactory_ESTest::test04,ArchiveStreamFactory_ESTest::test05,ArchiveStreamFactory_ESTest::test06,ArchiveStreamFactory_ESTest::test07,ArchiveStreamFactory_ESTest::test08,ArchiveStreamFactory_ESTest::test09,ArchiveStreamFactory_ESTest::test10,ArchiveStreamFactory_ESTest::test11,ArchiveStreamFactory_ESTest::test12,ArchiveStreamFactory_ESTest::test13,ArchiveStreamFactory_ESTest::test14,ArchiveStreamFactory_ESTest::test15,ArchiveStreamFactory_ESTest::test16,ArchiveStreamFactory_ESTest::test17,ArchiveStreamFactory_ESTest::test18,ArchiveStreamFactory_ESTest::test19,ArchiveStreamFactory_ESTest::test20,
ArchiveStreamFactory_ESTest::test00 ,0,6,4,7,6,7,6,1,1,1,1,0,2,2,2,2,3,5,0,1,5,
ArchiveStreamFactory_ESTest::test01 ,6,0,4,5,2,2,3,5,5,5,6,6,5,5,5,5,5,3,6,5,2,
ArchiveStreamFactory_ESTest::test02 ,4,4,0,6,4,4,3,4,4,4,3,4,4,5,5,5,5,3,4,4,3,
ArchiveStreamFactory_ESTest::test03 ,7,5,6,0,4,4,4,6,6,6,6,7,6,6,6,6,4,4,7,6,5,
ArchiveStreamFactory_ESTest::test04 ,6,2,4,4,0,3,3,5,5,5,6,6,5,5,5,5,5,1,6,5,3,
ArchiveStreamFactory_ESTest::test05 ,7,2,4,4,3,0,2,6,6,6,6,7,6,6,6,6,4,4,7,6,3,
ArchiveStreamFactory_ESTest::test06 ,6,3,3,4,3,2,0,5,5,5,5,6,5,5,5,5,3,4,6,5,4,
ArchiveStreamFactory_ESTest::test07 ,1,5,4,6,5,6,5,0,0,0,1,1,2,1,1,1,2,4,1,0,4,
ArchiveStreamFactory_ESTest::test08 ,1,5,4,6,5,6,5,0,0,0,1,1,2,1,1,1,2,4,1,0,4,
ArchiveStreamFactory_ESTest::test09 ,1,5,4,6,5,6,5,0,0,0,1,1,2,1,1,1,2,4,1,0,4,
ArchiveStreamFactory_ESTest::test10 ,1,6,3,6,6,6,5,1,1,1,0,1,1,2,2,2,2,5,1,1,5,
ArchiveStreamFactory_ESTest::test11 ,0,6,4,7,6,7,6,1,1,1,1,0,2,2,2,2,3,5,0,1,5,
ArchiveStreamFactory_ESTest::test12 ,2,5,4,6,5,6,5,2,2,2,1,2,0,2,2,2,2,6,2,2,6,
ArchiveStreamFactory_ESTest::test13 ,2,5,5,6,5,6,5,1,1,1,2,2,2,0,0,0,2,5,2,1,5,
ArchiveStreamFactory_ESTest::test14 ,2,5,5,6,5,6,5,1,1,1,2,2,2,0,0,0,2,5,2,1,5,
ArchiveStreamFactory_ESTest::test15 ,2,5,5,6,5,6,5,1,1,1,2,2,2,0,0,0,2,5,2,1,5,
ArchiveStreamFactory_ESTest::test16 ,3,5,5,4,5,4,3,2,2,2,2,3,2,2,2,2,0,6,3,2,6,
ArchiveStreamFactory_ESTest::test17 ,5,3,3,4,1,4,4,4,4,4,5,5,6,5,5,5,6,0,5,4,2,
ArchiveStreamFactory_ESTest::test18 ,0,6,4,7,6,7,6,1,1,1,1,0,2,2,2,2,3,5,0,1,5,
ArchiveStreamFactory_ESTest::test19 ,1,5,4,6,5,6,5,0,0,0,1,1,2,1,1,1,2,4,1,0,4,
ArchiveStreamFactory_ESTest::test20 ,5,2,3,5,3,3,4,4,4,4,5,5,6,5,5,5,6,2,5,4,0,
