:,CSVFormatTest::testDelimiterSameAsCommentStartThrowsException,CSVFormatTest::testDelimiterSameAsEscapeThrowsException,CSVFormatTest::testDuplicateHeaderElements,CSVFormatTest::testEquals,CSVFormatTest::testEqualsCommentStart,CSVFormatTest::testEqualsDelimiter,CSVFormatTest::testEqualsEscape,CSVFormatTest::testEqualsHeader,CSVFormatTest::testEqualsIgnoreEmptyLines,CSVFormatTest::testEqualsIgnoreSurroundingSpaces,CSVFormatTest::testEqualsNullString,CSVFormatTest::testEqualsQuoteChar,CSVFormatTest::testEqualsQuotePolicy,CSVFormatTest::testEqualsRecordSeparator,CSVFormatTest::testEqualsSkipHeaderRecord,CSVFormatTest::testEscapeSameAsCommentStartThrowsException,CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testFormat,CSVFormatTest::testGetHeader,CSVFormatTest::testNullRecordSeparatorCsv106,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException,CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType,CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException,CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException,CSVFormatTest::testRFC4180,CSVFormatTest::testWithCommentStart,CSVFormatTest::testWithCommentStartCRThrowsException,CSVFormatTest::testWithDelimiter,CSVFormatTest::testWithDelimiterLFThrowsException,CSVFormatTest::testWithEscape,CSVFormatTest::testWithEscapeCRThrowsExceptions,CSVFormatTest::testWithHeader,CSVFormatTest::testWithIgnoreEmptyLines,CSVFormatTest::testWithIgnoreSurround,CSVFormatTest::testWithNullString,CSVFormatTest::testWithQuoteChar,CSVFormatTest::testWithQuoteLFThrowsException,CSVFormatTest::testWithQuotePolicy,CSVFormatTest::testWithRecordSeparatorCR,CSVFormatTest::testWithRecordSeparatorCRLF,CSVFormatTest::testWithRecordSeparatorLF,CSVParserTest::testBOM,CSVParserTest::testBOMInputStream,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testDuplicateHeaders,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testExcelHeaderCountLessThanData,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetOneLine,CSVParserTest::testGetOneLineOneParser,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testHeaderMissing,CSVParserTest::testHeaderMissingWithNull,CSVParserTest::testHeadersMissing,CSVParserTest::testHeadersMissingException,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipSetHeader,
CSVFormatTest::testDelimiterSameAsCommentStartThrowsException ,0,0,7,5,6,2,8,30,9,8,10,4,3,12,12,0,2,18,16,16,0,1,0,2,5,3,3,3,3,3,3,16,5,5,5,3,3,5,3,5,3,5,5,116,45,101,5,5,5,4,69,4,5,35,49,58,65,80,53,5,37,15,5,4,5,4,5,11,4,5,4,8,9,7,8,6,4,4,4,5,4,31,5,12,6,5,5,5,4,4,4,4,4,5,5,16,7,5,5,12,
CSVFormatTest::testDelimiterSameAsEscapeThrowsException ,0,0,7,5,6,2,8,30,9,8,10,4,3,12,12,0,2,18,16,16,0,1,0,2,5,3,3,3,3,3,3,16,5,5,5,3,3,5,3,5,3,5,5,116,45,101,5,5,5,4,69,4,5,35,49,58,65,80,53,5,37,15,5,4,5,4,5,11,4,5,4,8,9,7,8,6,4,4,4,5,4,31,5,12,6,5,5,5,4,4,4,4,4,5,5,16,7,5,5,12,
CSVFormatTest::testDuplicateHeaderElements ,7,7,0,8,8,8,10,25,10,9,11,8,8,13,13,7,5,12,10,10,7,6,7,7,8,8,7,8,7,8,7,10,6,6,8,8,7,8,8,8,8,7,8,111,40,96,8,8,8,6,62,6,8,28,42,53,60,73,46,7,30,9,7,8,8,8,7,9,8,8,8,7,9,6,8,6,4,4,5,8,7,24,8,6,7,7,6,8,6,7,7,7,7,7,7,10,6,6,6,6,
CSVFormatTest::testEquals ,5,5,8,0,8,5,10,32,11,10,12,6,5,14,14,5,7,18,16,17,5,6,5,5,4,5,5,4,5,5,5,16,5,5,5,5,5,5,5,5,5,5,5,118,47,101,4,4,4,5,69,5,5,33,47,58,65,78,51,5,36,15,5,5,5,5,5,12,5,5,5,8,7,7,9,6,5,5,5,4,5,32,4,12,6,5,5,5,5,4,4,4,4,5,5,16,7,5,5,12,
CSVFormatTest::testEqualsCommentStart ,6,6,8,8,0,6,2,26,6,5,6,2,4,8,8,6,6,18,16,16,6,6,6,7,7,5,7,7,7,6,7,16,8,8,8,5,7,8,6,8,6,8,8,114,45,99,8,8,8,6,68,8,8,35,49,57,64,80,53,8,37,15,8,7,8,7,8,12,7,8,7,8,9,8,8,8,8,8,8,8,7,32,8,12,8,8,8,8,8,8,8,8,8,8,8,16,8,8,8,12,
CSVFormatTest::testEqualsDelimiter ,2,2,8,5,6,0,8,30,9,8,10,4,2,12,12,2,4,18,16,16,2,3,2,2,5,2,3,2,3,2,3,16,4,4,4,2,3,4,2,4,2,4,4,116,45,101,4,4,4,4,68,4,4,35,49,58,65,80,53,4,37,15,4,3,4,3,4,12,3,4,3,8,9,7,8,6,4,4,4,4,3,32,4,12,6,4,4,4,4,4,4,4,4,4,4,16,7,4,4,12,
CSVFormatTest::testEqualsEscape ,8,8,10,10,2,8,0,24,6,5,4,4,6,6,6,8,8,18,16,16,8,8,8,9,9,7,9,9,9,8,9,16,10,10,10,7,9,10,8,10,8,10,10,113,45,99,10,10,10,8,68,10,10,35,49,57,64,80,53,10,37,15,10,9,10,9,10,12,9,10,9,10,10,10,9,10,10,10,10,10,9,32,10,12,10,10,10,10,10,10,10,10,10,10,10,16,10,10,10,12,
CSVFormatTest::testEqualsHeader ,30,30,25,32,26,30,24,0,21,22,20,28,28,20,19,30,29,16,16,18,30,30,30,31,30,29,30,31,31,30,30,16,30,30,32,29,31,32,29,32,30,31,32,95,28,81,32,32,32,29,47,31,32,27,36,43,49,59,38,31,19,18,30,30,32,31,30,28,30,32,31,28,29,26,25,27,29,29,30,32,29,16,32,21,26,31,30,32,31,32,32,32,32,31,31,18,26,30,30,21,
CSVFormatTest::testEqualsIgnoreEmptyLines ,9,9,10,11,6,9,6,21,0,1,3,7,7,4,3,9,9,16,15,14,9,9,9,10,9,8,10,10,10,9,10,15,10,10,11,8,10,11,9,11,9,11,11,111,43,97,11,11,11,9,66,11,11,32,46,54,61,77,50,11,34,14,10,10,11,10,11,12,10,11,10,11,10,10,9,11,10,10,11,11,10,29,11,11,10,11,11,11,11,11,11,11,11,11,11,14,10,11,10,11,
CSVFormatTest::testEqualsIgnoreSurroundingSpaces ,8,8,9,10,5,8,5,22,1,0,4,6,6,5,4,8,8,16,15,14,8,8,8,9,8,7,9,9,9,8,9,15,9,9,10,7,9,10,8,10,8,10,10,112,44,97,10,10,10,8,67,10,10,33,47,55,62,78,51,10,35,14,9,9,10,9,10,12,9,10,9,10,10,9,8,10,9,9,10,10,9,30,10,11,9,10,10,10,10,10,10,10,10,10,10,14,9,10,9,11,
