:,Lexer_ESTest::test00,Lexer_ESTest::test01,Lexer_ESTest::test02,Lexer_ESTest::test03,Lexer_ESTest::test04,Lexer_ESTest::test05,Lexer_ESTest::test06,Lexer_ESTest::test07,Lexer_ESTest::test08,Lexer_ESTest::test09,Lexer_ESTest::test10,Lexer_ESTest::test11,Lexer_ESTest::test12,Lexer_ESTest::test13,Lexer_ESTest::test14,Lexer_ESTest::test15,Lexer_ESTest::test16,Lexer_ESTest::test17,Lexer_ESTest::test18,
Lexer_ESTest::test00 ,0,3,2,2,2,2,2,2,2,2,2,13,3,3,3,2,3,4,3,
Lexer_ESTest::test01 ,3,0,1,1,1,1,1,1,1,1,1,15,1,1,1,3,2,3,1,
Lexer_ESTest::test02 ,2,1,0,1,1,1,1,1,1,1,1,15,1,1,1,2,2,2,1,
Lexer_ESTest::test03 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test04 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test05 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test06 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test07 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test08 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test09 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test10 ,2,1,1,0,0,0,0,0,0,0,0,14,1,1,1,3,2,3,1,
Lexer_ESTest::test11 ,13,15,15,14,14,14,14,14,14,14,14,0,14,14,14,14,14,15,14,
Lexer_ESTest::test12 ,3,1,1,1,1,1,1,1,1,1,1,14,0,0,0,2,2,3,0,
Lexer_ESTest::test13 ,3,1,1,1,1,1,1,1,1,1,1,14,0,0,0,2,2,3,0,
Lexer_ESTest::test14 ,3,1,1,1,1,1,1,1,1,1,1,14,0,0,0,2,2,3,0,
Lexer_ESTest::test15 ,2,3,2,3,3,3,3,3,3,3,3,14,2,2,2,0,3,3,2,
Lexer_ESTest::test16 ,3,2,2,2,2,2,2,2,2,2,2,14,2,2,2,3,0,3,2,
Lexer_ESTest::test17 ,4,3,2,3,3,3,3,3,3,3,3,15,3,3,3,3,3,0,3,
Lexer_ESTest::test18 ,3,1,1,1,1,1,1,1,1,1,1,14,0,0,0,2,2,3,0,
