:,CSVPrinter_ESTest::test00,CSVPrinter_ESTest::test01,CSVPrinter_ESTest::test02,CSVPrinter_ESTest::test03,CSVPrinter_ESTest::test04,CSVPrinter_ESTest::test05,CSVPrinter_ESTest::test07,CSVPrinter_ESTest::test08,CSVPrinter_ESTest::test09,CSVPrinter_ESTest::test10,CSVPrinter_ESTest::test11,CSVPrinter_ESTest::test12,CSVPrinter_ESTest::test13,CSVPrinter_ESTest::test14,CSVPrinter_ESTest::test15,CSVPrinter_ESTest::test16,CSVPrinter_ESTest::test17,CSVPrinter_ESTest::test18,CSVPrinter_ESTest::test19,CSVPrinter_ESTest::test20,CSVPrinter_ESTest::test21,CSVPrinter_ESTest::test22,CSVPrinter_ESTest::test23,CSVPrinter_ESTest::test24,CSVPrinter_ESTest::test25,CSVPrinter_ESTest::test26,
CSVPrinter_ESTest::test00 ,0,1,0,0,1,6,2,2,2,0,8,1,2,2,1,1,1,2,2,8,0,2,2,2,4,7,
CSVPrinter_ESTest::test01 ,1,0,1,1,1,7,3,3,3,1,9,2,1,1,2,2,2,3,3,9,1,3,3,3,5,8,
CSVPrinter_ESTest::test02 ,0,1,0,0,1,6,2,2,2,0,8,1,2,2,1,1,1,2,2,8,0,2,2,2,4,7,
CSVPrinter_ESTest::test03 ,0,1,0,0,1,6,2,2,2,0,8,1,2,2,1,1,1,2,2,8,0,2,2,2,4,7,
CSVPrinter_ESTest::test04 ,1,1,1,1,0,7,3,3,3,1,9,2,1,1,2,2,2,3,3,9,1,3,3,3,5,8,
CSVPrinter_ESTest::test05 ,6,7,6,6,7,0,5,5,5,6,7,5,7,7,6,6,6,5,5,2,6,5,5,5,6,5,
CSVPrinter_ESTest::test07 ,2,3,2,2,3,5,0,0,1,2,8,3,4,4,3,3,3,0,1,7,2,1,1,1,3,8,
CSVPrinter_ESTest::test08 ,2,3,2,2,3,5,0,0,1,2,8,3,4,4,3,3,3,0,1,7,2,1,1,1,3,8,
CSVPrinter_ESTest::test09 ,2,3,2,2,3,5,1,1,0,2,8,3,4,4,3,3,3,1,1,7,2,1,1,1,3,8,
CSVPrinter_ESTest::test10 ,0,1,0,0,1,6,2,2,2,0,8,1,2,2,1,1,1,2,2,8,0,2,2,2,4,7,
CSVPrinter_ESTest::test11 ,8,9,8,8,9,7,8,8,8,8,0,8,10,10,8,8,8,8,8,7,8,8,8,8,8,6,
CSVPrinter_ESTest::test12 ,1,2,1,1,2,5,3,3,3,1,8,0,2,2,1,1,1,3,3,7,1,3,3,3,5,7,
CSVPrinter_ESTest::test13 ,2,1,2,2,1,7,4,4,4,2,10,2,0,0,3,3,3,4,4,9,2,4,4,4,6,9,
CSVPrinter_ESTest::test14 ,2,1,2,2,1,7,4,4,4,2,10,2,0,0,3,3,3,4,4,9,2,4,4,4,6,9,
CSVPrinter_ESTest::test15 ,1,2,1,1,2,6,3,3,3,1,8,1,3,3,0,0,0,3,3,8,1,3,3,3,5,7,
CSVPrinter_ESTest::test16 ,1,2,1,1,2,6,3,3,3,1,8,1,3,3,0,0,0,3,3,8,1,3,3,3,5,7,
CSVPrinter_ESTest::test17 ,1,2,1,1,2,6,3,3,3,1,8,1,3,3,0,0,0,3,3,8,1,3,3,3,5,7,
CSVPrinter_ESTest::test18 ,2,3,2,2,3,5,0,0,1,2,8,3,4,4,3,3,3,0,1,7,2,1,1,1,3,8,
CSVPrinter_ESTest::test19 ,2,3,2,2,3,5,1,1,1,2,8,3,4,4,3,3,3,1,0,7,2,1,1,1,3,8,
CSVPrinter_ESTest::test20 ,8,9,8,8,9,2,7,7,7,8,7,7,9,9,8,8,8,7,7,0,8,7,7,7,6,6,
CSVPrinter_ESTest::test21 ,0,1,0,0,1,6,2,2,2,0,8,1,2,2,1,1,1,2,2,8,0,2,2,2,4,7,
CSVPrinter_ESTest::test22 ,2,3,2,2,3,5,1,1,1,2,8,3,4,4,3,3,3,1,1,7,2,0,1,1,3,8,
CSVPrinter_ESTest::test23 ,2,3,2,2,3,5,1,1,1,2,8,3,4,4,3,3,3,1,1,7,2,1,0,1,3,8,
CSVPrinter_ESTest::test24 ,2,3,2,2,3,5,1,1,1,2,8,3,4,4,3,3,3,1,1,7,2,1,1,0,3,8,
CSVPrinter_ESTest::test25 ,4,5,4,4,5,6,3,3,3,4,8,5,6,6,5,5,5,3,3,6,4,3,3,3,0,8,
CSVPrinter_ESTest::test26 ,7,8,7,7,8,5,8,8,8,7,6,7,9,9,7,7,7,8,8,6,7,8,8,8,8,0,
