:,CSVParserTest::testBOM,CSVParserTest::testBOMInputStream_ParserWithInputStream,CSVParserTest::testBOMInputStream_ParserWithReader,CSVParserTest::testBOMInputStream_parseWithReader,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testClose,CSVParserTest::testDefaultFormat,CSVParserTest::testDuplicateHeaders,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testExcelHeaderCountLessThanData,CSVParserTest::testFirstEndOfLineCr,CSVParserTest::testFirstEndOfLineCrLf,CSVParserTest::testFirstEndOfLineLf,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetOneLine,CSVParserTest::testGetOneLineOneParser,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordPositionWithCRLF,CSVParserTest::testGetRecordPositionWithLF,CSVParserTest::testGetRecordWithMultiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testHeaderMissing,CSVParserTest::testHeaderMissingWithNull,CSVParserTest::testHeadersMissing,CSVParserTest::testHeadersMissingException,CSVParserTest::testIgnoreCaseHeaderMapping,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testInvalidFormat,CSVParserTest::testIterator,CSVParserTest::testIteratorSequenceBreaking,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testMultipleIterators,CSVParserTest::testNewCSVParserNullReaderFormat,CSVParserTest::testNewCSVParserReaderNullFormat,CSVParserTest::testNoHeaderMap,CSVParserTest::testParseFileNullFormat,CSVParserTest::testParseNullFileFormat,CSVParserTest::testParseNullStringFormat,CSVParserTest::testParseNullUrlCharsetFormat,CSVParserTest::testParseStringNullFormat,CSVParserTest::testParseUrlCharsetNullFormat,CSVParserTest::testParserUrlNullCharsetFormat,CSVParserTest::testProvidedHeader,CSVParserTest::testProvidedHeaderAuto,CSVParserTest::testRoundtrip,CSVParserTest::testSkipAutoHeader,CSVParserTest::testSkipHeaderOverrideDuplicateHeaders,CSVParserTest::testSkipSetAltHeaders,CSVParserTest::testSkipSetHeader,CSVParserTest::testStartWithEmptyLinesThenHeaders,CSVParserTest::testTrailingDelimiter,CSVParserTest::testTrim,
CSVParserTest::testBOM ,0,4,4,4,116,45,102,3,2,2,4,71,3,1,34,48,59,66,79,52,0,2,2,2,37,14,3,4,4,4,3,14,4,4,4,4,4,9,8,6,8,5,4,4,4,10,2,4,31,17,2,10,6,2,3,1,3,3,3,3,3,2,2,15,6,2,4,10,10,10,48,11,11,
CSVParserTest::testBOMInputStream_ParserWithInputStream ,4,0,0,0,120,49,106,5,4,4,8,75,2,3,38,52,63,70,83,56,4,4,4,4,40,18,6,2,0,2,6,17,2,0,2,0,2,11,11,7,9,6,3,3,3,11,4,7,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testBOMInputStream_ParserWithReader ,4,0,0,0,120,49,106,5,4,4,8,75,2,3,38,52,63,70,83,56,4,4,4,4,40,18,6,2,0,2,6,17,2,0,2,0,2,11,11,7,9,6,3,3,3,11,4,7,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testBOMInputStream_parseWithReader ,4,0,0,0,120,49,106,5,4,4,8,75,2,3,38,52,63,70,83,56,4,4,4,4,40,18,6,2,0,2,6,17,2,0,2,0,2,11,11,7,9,6,3,3,3,11,4,7,32,18,4,11,9,5,6,3,3,2,2,2,2,5,5,16,7,5,2,11,11,11,52,12,12,
CSVParserTest::testBackslashEscaping ,116,120,120,120,0,72,30,117,117,117,115,58,119,117,91,82,74,71,57,74,116,117,117,117,85,103,117,119,120,118,116,113,119,120,118,120,118,114,115,113,112,114,118,118,118,109,117,115,89,104,117,109,112,116,115,117,118,119,119,119,119,116,116,104,113,115,118,109,109,109,82,109,109,
CSVParserTest::testBackslashEscaping2 ,45,49,49,49,72,0,61,46,46,46,45,36,48,46,27,26,32,39,42,27,45,46,46,46,18,32,46,48,49,48,45,42,48,49,48,49,48,43,44,42,42,43,47,47,47,38,46,45,18,38,46,38,41,45,44,46,47,48,48,48,48,45,45,33,42,44,47,38,38,38,26,38,38,
CSVParserTest::testBackslashEscapingOld ,102,106,106,106,30,61,0,102,102,102,101,48,105,103,71,60,53,48,37,52,102,102,102,102,71,89,100,105,106,105,100,99,105,106,105,106,105,99,95,99,99,100,104,104,104,95,102,101,75,91,102,95,98,102,101,103,104,105,105,105,105,102,102,90,99,101,104,95,95,95,60,94,94,
CSVParserTest::testCSV57 ,3,5,5,5,117,46,102,0,1,1,6,72,5,2,34,48,59,66,79,52,3,1,1,1,36,15,3,5,5,5,3,14,5,5,5,5,5,7,7,7,9,6,5,5,5,11,1,5,32,18,1,11,6,3,4,2,5,4,4,4,4,3,3,16,7,3,5,11,11,11,48,12,12,
CSVParserTest::testCarriageReturnEndings ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
CSVParserTest::testCarriageReturnLineFeedEndings ,2,4,4,4,117,46,102,1,0,0,6,72,4,1,34,48,59,66,79,52,2,0,0,0,36,15,3,4,4,4,3,14,4,4,4,4,4,8,7,7,9,6,4,4,4,11,0,4,32,18,0,11,6,2,3,1,4,3,3,3,3,2,2,16,7,3,4,11,11,11,48,12,12,
