:,CSVPrinterTest::testDelimeterQuoteNONE,CSVPrinterTest::testDelimeterQuoted,CSVPrinterTest::testDelimiterEscaped,CSVPrinterTest::testDelimiterPlain,CSVPrinterTest::testDisabledComment,CSVPrinterTest::testEOLEscaped,CSVPrinterTest::testEOLPlain,CSVPrinterTest::testEOLQuoted,CSVPrinterTest::testExcelPrintAllArrayOfArrays,CSVPrinterTest::testExcelPrintAllArrayOfLists,CSVPrinterTest::testExcelPrintAllIterableOfArrays,CSVPrinterTest::testExcelPrintAllIterableOfLists,CSVPrinterTest::testExcelPrinter1,CSVPrinterTest::testExcelPrinter2,CSVPrinterTest::testHeader,CSVPrinterTest::testInvalidFormat,CSVPrinterTest::testJdbcPrinter,CSVPrinterTest::testMultiLineComment,CSVPrinterTest::testNewCSVPrinterNullAppendableFormat,CSVPrinterTest::testNewCsvPrinterAppendableNullFormat,CSVPrinterTest::testParseCustomNullValues,CSVPrinterTest::testPlainEscaped,CSVPrinterTest::testPlainPlain,CSVPrinterTest::testPlainQuoted,CSVPrinterTest::testPrint,CSVPrinterTest::testPrintCustomNullValues,CSVPrinterTest::testPrintNullValues,CSVPrinterTest::testPrinter1,CSVPrinterTest::testPrinter2,CSVPrinterTest::testPrinter3,CSVPrinterTest::testPrinter4,CSVPrinterTest::testPrinter5,CSVPrinterTest::testPrinter6,CSVPrinterTest::testPrinter7,CSVPrinterTest::testQuoteAll,CSVPrinterTest::testQuoteNonNumeric,CSVPrinterTest::testRandom,CSVPrinterTest::testSingleLineComment,CSVPrinterTest::testSingleQuoteQuoted,
CSVPrinterTest::testDelimeterQuoteNONE ,0,3,2,3,2,3,3,3,22,22,22,22,8,8,31,3,6,2,3,3,17,3,3,3,7,12,12,8,8,8,8,8,8,8,11,12,7,2,3,
CSVPrinterTest::testDelimeterQuoted ,3,0,2,2,2,2,2,0,22,22,22,22,8,8,31,4,6,2,3,2,17,2,2,0,7,12,12,8,8,8,8,8,8,8,11,12,7,2,0,
CSVPrinterTest::testDelimiterEscaped ,2,2,0,2,3,2,2,2,22,22,22,22,8,8,31,5,7,2,3,2,16,2,2,2,7,11,11,8,8,8,8,8,8,8,11,12,7,2,2,
CSVPrinterTest::testDelimiterPlain ,3,2,2,0,1,2,0,2,22,22,22,22,8,8,30,3,6,3,1,0,16,2,0,2,7,11,11,8,8,8,8,8,8,8,11,12,8,3,2,
CSVPrinterTest::testDisabledComment ,2,2,3,1,0,3,1,2,22,22,22,22,8,8,31,2,6,3,1,1,17,3,1,2,7,12,12,8,8,8,8,8,8,8,11,12,8,3,2,
CSVPrinterTest::testEOLEscaped ,3,2,2,2,3,0,2,2,22,22,22,22,8,8,30,5,7,3,3,2,16,0,2,2,7,11,11,8,8,8,8,8,8,8,11,12,7,3,2,
CSVPrinterTest::testEOLPlain ,3,2,2,0,1,2,0,2,22,22,22,22,8,8,30,3,6,3,1,0,16,2,0,2,7,11,11,8,8,8,8,8,8,8,11,12,8,3,2,
CSVPrinterTest::testEOLQuoted ,3,0,2,2,2,2,2,0,22,22,22,22,8,8,31,4,6,2,3,2,17,2,2,0,7,12,12,8,8,8,8,8,8,8,11,12,7,2,0,
CSVPrinterTest::testExcelPrintAllArrayOfArrays ,22,22,22,22,22,22,22,22,0,0,0,0,14,14,15,22,21,21,23,22,13,22,22,22,15,12,12,14,14,14,14,14,14,14,12,11,24,21,22,
CSVPrinterTest::testExcelPrintAllArrayOfLists ,22,22,22,22,22,22,22,22,0,0,0,0,14,14,15,22,21,21,23,22,13,22,22,22,15,12,12,14,14,14,14,14,14,14,12,11,24,21,22,
