:,CSVParser_ESTest::test00,CSVParser_ESTest::test01,CSVParser_ESTest::test02,CSVParser_ESTest::test03,CSVParser_ESTest::test04,CSVParser_ESTest::test05,CSVParser_ESTest::test06,CSVParser_ESTest::test07,CSVParser_ESTest::test08,CSVParser_ESTest::test09,CSVParser_ESTest::test10,CSVParser_ESTest::test11,CSVParser_ESTest::test12,CSVParser_ESTest::test13,CSVParser_ESTest::test14,CSVParser_ESTest::test15,CSVParser_ESTest::test16,CSVParser_ESTest::test17,CSVParser_ESTest::test18,CSVParser_ESTest::test19,CSVParser_ESTest::test20,CSVParser_ESTest::test21,CSVParser_ESTest::test22,CSVParser_ESTest::test23,CSVParser_ESTest::test24,CSVParser_ESTest::test25,
CSVParser_ESTest::test00 ,0,3,3,3,2,2,4,2,3,3,3,3,3,2,3,3,3,3,3,1,2,1,2,9,1,3,
CSVParser_ESTest::test01 ,3,0,0,1,3,2,6,2,4,1,1,3,0,2,1,1,1,1,1,2,4,2,4,11,3,2,
CSVParser_ESTest::test02 ,3,0,0,1,3,2,6,2,4,1,1,3,0,2,1,1,1,1,1,2,4,2,4,11,3,2,
CSVParser_ESTest::test03 ,3,1,1,0,3,2,7,2,4,1,1,3,1,3,1,1,1,1,1,3,5,3,5,12,4,3,
CSVParser_ESTest::test04 ,2,3,3,3,0,1,6,1,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,11,3,3,
CSVParser_ESTest::test05 ,2,2,2,2,1,0,6,0,4,2,2,3,2,2,2,2,2,2,2,3,4,3,4,11,3,3,
CSVParser_ESTest::test06 ,4,6,6,7,6,6,0,6,5,7,7,7,6,4,7,7,7,7,7,4,2,4,2,9,3,6,
CSVParser_ESTest::test07 ,2,2,2,2,1,0,6,0,4,2,2,3,2,2,2,2,2,2,2,3,4,3,4,11,3,3,
CSVParser_ESTest::test08 ,3,4,4,4,3,4,5,4,0,4,4,5,4,4,4,4,4,4,4,2,4,2,4,10,3,4,
CSVParser_ESTest::test09 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test10 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test11 ,3,3,3,3,3,3,7,3,5,2,2,0,3,3,2,2,2,2,2,4,5,4,5,12,4,4,
CSVParser_ESTest::test12 ,3,0,0,1,3,2,6,2,4,1,1,3,0,2,1,1,1,1,1,2,4,2,4,11,3,2,
CSVParser_ESTest::test13 ,2,2,2,3,3,2,4,2,4,3,3,3,2,0,3,3,3,3,3,2,2,2,2,10,2,3,
CSVParser_ESTest::test14 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test15 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test16 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test17 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test18 ,3,1,1,1,3,2,7,2,4,0,0,2,1,3,0,0,0,0,0,3,5,3,5,12,4,3,
CSVParser_ESTest::test19 ,1,2,2,3,3,3,4,3,2,3,3,4,2,2,3,3,3,3,3,0,2,0,2,9,1,2,
CSVParser_ESTest::test20 ,2,4,4,5,4,4,2,4,4,5,5,5,4,2,5,5,5,5,5,2,0,2,0,9,1,4,
CSVParser_ESTest::test21 ,1,2,2,3,3,3,4,3,2,3,3,4,2,2,3,3,3,3,3,0,2,0,2,9,1,2,
CSVParser_ESTest::test22 ,2,4,4,5,4,4,2,4,4,5,5,5,4,2,5,5,5,5,5,2,0,2,0,9,1,4,
CSVParser_ESTest::test23 ,9,11,11,12,11,11,9,11,10,12,12,12,11,10,12,12,12,12,12,9,9,9,9,0,8,10,
CSVParser_ESTest::test24 ,1,3,3,4,3,3,3,3,3,4,4,4,3,2,4,4,4,4,4,1,1,1,1,8,0,3,
CSVParser_ESTest::test25 ,3,2,2,3,3,3,6,3,4,3,3,4,2,3,3,3,3,3,3,2,4,2,4,10,3,0,
