:,CSVRecord_ESTest::test00,CSVRecord_ESTest::test01,CSVRecord_ESTest::test02,CSVRecord_ESTest::test03,CSVRecord_ESTest::test04,CSVRecord_ESTest::test05,CSVRecord_ESTest::test06,CSVRecord_ESTest::test07,CSVRecord_ESTest::test08,CSVRecord_ESTest::test09,CSVRecord_ESTest::test10,CSVRecord_ESTest::test11,CSVRecord_ESTest::test12,CSVRecord_ESTest::test13,CSVRecord_ESTest::test14,CSVRecord_ESTest::test15,CSVRecord_ESTest::test16,CSVRecord_ESTest::test17,
CSVRecord_ESTest::test00 ,0,4,4,5,3,4,4,2,5,0,6,4,1,5,4,5,4,5,
CSVRecord_ESTest::test01 ,4,0,4,3,3,4,3,4,3,4,5,4,5,4,5,4,4,4,
CSVRecord_ESTest::test02 ,4,4,0,3,3,0,2,3,4,4,5,0,3,4,5,4,0,6,
CSVRecord_ESTest::test03 ,5,3,3,0,4,3,1,4,4,5,5,3,5,4,5,4,3,5,
CSVRecord_ESTest::test04 ,3,3,3,4,0,3,3,3,4,3,5,3,4,4,5,4,3,5,
CSVRecord_ESTest::test05 ,4,4,0,3,3,0,2,3,4,4,5,0,3,4,5,4,0,6,
CSVRecord_ESTest::test06 ,4,3,2,1,3,2,0,3,3,4,5,2,4,4,4,4,2,5,
CSVRecord_ESTest::test07 ,2,4,3,4,3,3,3,0,4,2,6,3,1,5,4,5,3,6,
CSVRecord_ESTest::test08 ,5,3,4,4,4,4,3,4,0,5,6,4,5,5,4,5,4,5,
CSVRecord_ESTest::test09 ,0,4,4,5,3,4,4,2,5,0,6,4,1,5,4,5,4,5,
CSVRecord_ESTest::test10 ,6,5,5,5,5,5,5,6,6,6,0,5,7,2,7,1,5,3,
CSVRecord_ESTest::test11 ,4,4,0,3,3,0,2,3,4,4,5,0,3,4,5,4,0,6,
CSVRecord_ESTest::test12 ,1,5,3,5,4,3,4,1,5,1,7,3,0,6,4,6,3,6,
CSVRecord_ESTest::test13 ,5,4,4,4,4,4,4,5,5,5,2,4,6,0,6,1,4,3,
CSVRecord_ESTest::test14 ,4,5,5,5,5,5,4,4,4,4,7,5,4,6,0,6,5,7,
CSVRecord_ESTest::test15 ,5,4,4,4,4,4,4,5,5,5,1,4,6,1,6,0,4,3,
CSVRecord_ESTest::test16 ,4,4,0,3,3,0,2,3,4,4,5,0,3,4,5,4,0,6,
CSVRecord_ESTest::test17 ,5,4,6,5,5,6,5,6,5,5,3,6,6,3,7,3,6,0,
