:,CSVLexerTest::testBackslashWithEscaping,CSVLexerTest::testBackslashWithoutEscaping,CSVLexerTest::testComments,CSVLexerTest::testCommentsAndEmptyLines,CSVLexerTest::testDelimiterIsWhitespace,CSVLexerTest::testEscapeBackspace,CSVLexerTest::testEscapeFF,CSVLexerTest::testEscapedCR,CSVLexerTest::testEscapedCharacter,CSVLexerTest::testEscapedControlCharacter,CSVLexerTest::testEscapedControlCharacter2,CSVLexerTest::testEscapedLF,CSVLexerTest::testEscapedMySqlNullValue,CSVLexerTest::testEscapedTab,CSVLexerTest::testEscapingAtEOF,CSVLexerTest::testIgnoreEmptyLines,CSVLexerTest::testNextToken4,CSVLexerTest::testNextToken5,CSVLexerTest::testNextToken6,CSVLexerTest::testSurroundingSpacesAreDeleted,CSVLexerTest::testSurroundingTabsAreDeleted,CSVParserTest::testBackslashEscaping,CSVParserTest::testBackslashEscaping2,CSVParserTest::testBackslashEscapingOld,CSVParserTest::testCSV57,CSVParserTest::testCarriageReturnEndings,CSVParserTest::testCarriageReturnLineFeedEndings,CSVParserTest::testDefaultFormat,CSVParserTest::testEmptyFile,CSVParserTest::testEmptyLineBehaviourCSV,CSVParserTest::testEmptyLineBehaviourExcel,CSVParserTest::testEndOfFileBehaviorCSV,CSVParserTest::testEndOfFileBehaviourExcel,CSVParserTest::testExcelFormat1,CSVParserTest::testExcelFormat2,CSVParserTest::testForEach,CSVParserTest::testGetHeaderMap,CSVParserTest::testGetLine,CSVParserTest::testGetLineNumberWithCR,CSVParserTest::testGetLineNumberWithCRLF,CSVParserTest::testGetLineNumberWithLF,CSVParserTest::testGetRecordNumberWithCR,CSVParserTest::testGetRecordNumberWithCRLF,CSVParserTest::testGetRecordNumberWithLF,CSVParserTest::testGetRecordWithMultiiLineValues,CSVParserTest::testGetRecords,CSVParserTest::testHeader,CSVParserTest::testHeaderComment,CSVParserTest::testIgnoreEmptyLines,CSVParserTest::testIterator,CSVParserTest::testLineFeedEndings,CSVParserTest::testMappedButNotSetAsOutlook2007ContactExport,CSVParserTest::testProvidedHeader,CSVParserTest::testRoundtrip,
CSVLexerTest::testBackslashWithEscaping ,0,1,9,18,2,7,7,7,7,7,7,7,7,7,7,4,6,3,6,1,1,111,40,97,7,6,6,63,7,29,42,54,60,73,46,29,13,6,8,8,8,8,8,8,5,10,7,9,6,24,6,8,13,5,
CSVLexerTest::testBackslashWithoutEscaping ,1,0,9,19,1,6,6,6,6,6,6,6,6,6,6,4,6,2,6,1,1,112,41,98,6,5,5,64,6,30,43,55,61,74,47,30,12,5,7,7,7,7,7,7,4,9,6,8,5,25,5,7,12,4,
CSVLexerTest::testComments ,9,9,0,10,10,15,15,15,15,14,14,15,15,15,15,6,4,11,13,9,9,104,36,90,15,14,14,57,15,29,39,47,53,67,41,28,13,14,15,16,15,15,16,15,11,14,15,15,14,23,14,12,13,13,
CSVLexerTest::testCommentsAndEmptyLines ,18,19,10,0,20,25,25,25,25,24,24,25,25,25,25,16,14,21,23,19,19,94,35,80,25,24,24,50,25,28,38,45,50,58,40,28,22,24,25,26,25,25,26,25,21,24,25,24,24,23,24,22,22,23,
CSVLexerTest::testDelimiterIsWhitespace ,2,1,10,20,0,5,5,5,5,5,5,5,5,5,5,5,7,1,6,2,2,113,42,99,5,4,4,65,5,31,44,56,62,75,48,31,12,4,6,6,6,6,6,6,4,9,6,8,4,26,4,7,12,3,
CSVLexerTest::testEscapeBackspace ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapeFF ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapedCR ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapedCharacter ,7,6,15,25,5,0,0,0,0,2,2,0,0,0,1,10,12,4,7,7,7,118,47,104,2,2,2,70,0,36,49,61,67,80,53,36,15,5,2,1,2,2,1,2,8,10,6,8,2,31,2,10,15,2,
CSVLexerTest::testEscapedControlCharacter ,7,6,14,24,5,2,2,2,2,0,1,2,2,2,3,10,12,4,5,7,7,117,46,103,3,3,3,69,2,36,49,60,66,80,53,36,15,6,2,3,2,2,3,2,8,11,7,8,3,31,3,10,15,2,
