: , RegressionTest0::test1 , RegressionTest0::test2 , RegressionTest0::test3 , RegressionTest0::test4 , RegressionTest0::test5 , RegressionTest0::test6 , RegressionTest0::test7 , RegressionTest0::test8 , RegressionTest0::test9
SimplexTableau_ESTest::test00 , 0 , 241 , 442 , 333 , 73 , 245 , 314 , 300 , 75 , 289 , 83 , 105 , 124 , 335 , 122 , 56 , 213 , 98 , 147 , 217 , 377 , 397 , 428 , 262 , 218 , 315 , 207
SimplexTableau_ESTest::test01 , 241 , 0 , 487 , 409 , 230 , 183 , 436 , 394 , 233 , 434 , 214 , 202 , 214 , 421 , 216 , 238 , 341 , 234 , 172 , 343 , 499 , 506 , 538 , 372 , 345 , 440 , 380
SimplexTableau_ESTest::test02 , 442 , 487 , 0 , 533 , 443 , 455 , 523 , 500 , 437 , 501 , 425 , 432 , 432 , 490 , 433 , 447 , 423 , 425 , 468 , 423 , 521 , 527 , 559 , 413 , 422 , 466 , 460
SimplexTableau_ESTest::test03 , 333 , 409 , 533 , 0 , 323 , 370 , 166 , 128 , 308 , 208 , 286 , 265 , 220 , 166 , 218 , 335 , 308 , 321 , 356 , 316 , 399 , 366 , 358 , 331 , 315 , 347 , 325
SimplexTableau_ESTest::test04 , 73 , 230 , 443 , 323 , 0 , 237 , 285 , 286 , 33 , 240 , 62 , 83 , 110 , 323 , 107 , 61 , 224 , 103 , 130 , 232 , 388 , 417 , 453 , 253 , 232 , 333 , 265
SimplexTableau_ESTest::test05 , 245 , 183 , 455 , 370 , 237 , 0 , 401 , 384 , 232 , 415 , 216 , 199 , 212 , 412 , 210 , 241 , 342 , 231 , 206 , 347 , 468 , 469 , 508 , 374 , 349 , 420 , 390
SimplexTableau_ESTest::test06 , 314 , 436 , 523 , 166 , 285 , 401 , 0 , 275 , 281 , 180 , 311 , 339 , 340 , 312 , 340 , 302 , 318 , 316 , 368 , 328 , 395 , 369 , 353 , 347 , 326 , 346 , 331
SimplexTableau_ESTest::test07 , 300 , 394 , 500 , 128 , 286 , 384 , 275 , 0 , 279 , 156 , 257 , 228 , 183 , 40 , 181 , 298 , 261 , 295 , 321 , 262 , 356 , 272 , 305 , 281 , 269 , 305 , 262
SimplexTableau_ESTest::test08 , 75 , 233 , 437 , 308 , 33 , 232 , 281 , 279 , 0 , 225 , 47 , 76 , 103 , 304 , 101 , 59 , 212 , 90 , 134 , 220 , 387 , 406 , 446 , 240 , 221 , 321 , 263
SimplexTableau_ESTest::test09 , 289 , 434 , 501 , 208 , 240 , 415 , 180 , 156 , 225 , 0 , 268 , 298 , 314 , 183 , 312 , 276 , 261 , 304 , 345 , 273 , 341 , 278 , 276 , 299 , 272 , 293 , 267
SimplexTableau_ESTest::test10 , 83 , 214 , 425 , 286 , 62 , 216 , 311 , 257 , 47 , 268 , 0 , 35 , 79 , 292 , 77 , 73 , 178 , 52 , 102 , 190 , 356 , 378 , 417 , 214 , 192 , 291 , 231
SimplexTableau_ESTest::test11 , 105 , 202 , 432 , 265 , 83 , 199 , 339 , 228 , 76 , 298 , 35 , 0 , 50 , 263 , 48 , 95 , 207 , 85 , 105 , 209 , 375 , 399 , 436 , 237 , 213 , 312 , 249
SimplexTableau_ESTest::test12 , 124 , 214 , 432 , 220 , 110 , 212 , 340 , 183 , 103 , 314 , 79 , 50 , 0 , 220 , 3 , 120 , 225 , 114 , 143 , 230 , 382 , 403 , 435 , 239 , 232 , 324 , 268
SimplexTableau_ESTest::test13 , 335 , 421 , 490 , 166 , 323 , 412 , 312 , 40 , 304 , 183 , 292 , 263 , 220 , 0 , 218 , 331 , 288 , 323 , 354 , 288 , 387 , 300 , 333 , 284 , 293 , 333 , 288
SimplexTableau_ESTest::test14 , 122 , 216 , 433 , 218 , 107 , 210 , 340 , 181 , 101 , 312 , 77 , 48 , 3 , 218 , 0 , 118 , 223 , 116 , 141 , 232 , 380 , 405 , 438 , 241 , 233 , 322 , 268
