:,SimplexSolverTest::testDegeneracy,SimplexSolverTest::testEpsilon,SimplexSolverTest::testInfeasibleSolution,SimplexSolverTest::testLargeModel,SimplexSolverTest::testMath272,SimplexSolverTest::testMath286,SimplexSolverTest::testMath288,SimplexSolverTest::testMath290GEQ,SimplexSolverTest::testMath290LEQ,SimplexSolverTest::testMath293,SimplexSolverTest::testMath434NegativeVariable,SimplexSolverTest::testMath434PivotRowSelection,SimplexSolverTest::testMath434PivotRowSelection2,SimplexSolverTest::testMath434UnfeasibleSolution,SimplexSolverTest::testMath713NegativeVariable,SimplexSolverTest::testMinimization,SimplexSolverTest::testModelWithNoArtificialVars,SimplexSolverTest::testRestrictVariablesToNonNegative,SimplexSolverTest::testSimplexSolver,SimplexSolverTest::testSingleVariableAndConstraint,SimplexSolverTest::testSolutionWithNegativeDecisionVariable,SimplexSolverTest::testTrivialModel,SimplexSolverTest::testUnboundedSolution,SimplexTableauTest::testDropPhase1Objective,SimplexTableauTest::testInitialization,SimplexTableauTest::testSerial,SimplexTableauTest::testTableauWithNoArtificialVars,
SimplexSolverTest::testDegeneracy ,0,35,25,1228,32,157,77,26,27,327,26,27,310,19,27,14,11,94,12,33,14,27,25,98,174,51,158,
SimplexSolverTest::testEpsilon ,35,0,51,1220,18,138,64,47,50,304,26,46,291,43,47,28,26,75,27,53,35,50,51,86,157,74,146,
SimplexSolverTest::testInfeasibleSolution ,25,51,0,1243,53,178,98,20,15,347,34,9,332,17,20,33,33,110,33,11,20,16,12,116,193,29,180,
SimplexSolverTest::testLargeModel ,1228,1220,1243,0,1213,1159,1192,1243,1243,1070,1227,1244,1068,1237,1240,1231,1229,1185,1229,1249,1235,1240,1243,1181,1134,1261,1143,
SimplexSolverTest::testMath272 ,32,18,53,1213,0,134,65,50,54,302,26,52,287,47,48,32,31,81,32,60,40,51,54,78,155,79,144,
SimplexSolverTest::testMath286 ,157,138,178,1159,134,0,97,175,180,189,148,176,192,169,170,155,154,82,155,185,166,177,180,106,114,206,113,
SimplexSolverTest::testMath288 ,77,64,98,1192,65,97,0,97,99,260,78,99,239,89,96,78,77,51,78,104,87,98,98,66,118,124,105,
SimplexSolverTest::testMath290GEQ ,26,47,20,1243,50,175,97,0,7,343,33,17,330,15,8,31,30,107,31,15,18,10,9,114,190,32,178,
SimplexSolverTest::testMath290LEQ ,27,50,15,1243,54,180,99,7,0,349,36,17,335,13,13,34,34,112,33,15,22,5,3,117,194,26,183,
SimplexSolverTest::testMath293 ,327,304,347,1070,302,189,260,343,349,0,318,343,163,337,339,321,321,248,322,354,333,346,349,255,204,375,209,
SimplexSolverTest::testMath434NegativeVariable ,26,26,34,1227,26,148,78,33,36,318,0,33,303,26,32,28,27,92,28,40,22,33,35,94,170,59,157,
SimplexSolverTest::testMath434PivotRowSelection ,27,46,9,1244,52,176,99,17,17,343,33,0,330,19,19,31,32,109,31,13,19,19,17,116,193,33,179,
SimplexSolverTest::testMath434PivotRowSelection2 ,310,291,332,1068,287,192,239,330,335,163,303,330,0,323,325,307,305,235,306,340,318,332,335,230,182,361,190,
SimplexSolverTest::testMath434UnfeasibleSolution ,19,43,17,1237,47,169,89,15,13,337,26,19,323,0,15,26,25,102,25,24,13,15,15,107,184,39,172,
SimplexSolverTest::testMath713NegativeVariable ,27,47,20,1240,48,170,96,8,13,339,32,19,325,15,0,30,29,107,30,19,17,11,13,112,188,38,175,
SimplexSolverTest::testMinimization ,14,28,33,1231,32,155,78,31,34,321,28,31,307,26,30,0,8,89,7,36,16,31,34,98,172,57,155,
SimplexSolverTest::testModelWithNoArtificialVars ,11,26,33,1229,31,154,77,30,34,321,27,32,305,25,29,8,0,89,1,36,15,32,32,97,171,58,151,
SimplexSolverTest::testRestrictVariablesToNonNegative ,94,75,110,1185,81,82,51,107,112,248,92,109,235,102,107,89,89,0,90,115,98,112,111,81,116,135,103,
SimplexSolverTest::testSimplexSolver ,12,27,33,1229,32,155,78,31,33,322,28,31,306,25,30,7,1,90,0,35,14,31,33,98,172,57,152,
SimplexSolverTest::testSingleVariableAndConstraint ,33,53,11,1249,60,185,104,15,15,354,40,13,340,24,19,36,36,115,35,0,24,14,13,121,198,22,186,
SimplexSolverTest::testSolutionWithNegativeDecisionVariable ,14,35,20,1235,40,166,87,18,22,333,22,19,318,13,17,16,15,98,14,24,0,19,20,106,181,45,166,
SimplexSolverTest::testTrivialModel ,27,50,16,1240,51,177,98,10,5,346,33,19,332,15,11,31,32,112,31,14,19,0,6,114,190,29,180,
SimplexSolverTest::testUnboundedSolution ,25,51,12,1243,54,180,98,9,3,349,35,17,335,15,13,34,32,111,33,13,20,6,0,117,193,26,181,
SimplexTableauTest::testDropPhase1Objective ,98,86,116,1181,78,106,66,114,117,255,94,116,230,107,112,98,97,81,98,121,106,114,117,0,98,140,82,
SimplexTableauTest::testInitialization ,174,157,193,1134,155,114,118,190,194,204,170,193,182,184,188,172,171,116,172,198,181,190,193,98,0,217,78,
SimplexTableauTest::testSerial ,51,74,29,1261,79,206,124,32,26,375,59,33,361,39,38,57,58,135,57,22,45,29,26,140,217,0,207,
SimplexTableauTest::testTableauWithNoArtificialVars ,158,146,180,1143,144,113,105,178,183,209,157,179,190,172,175,155,151,103,152,186,166,180,181,82,78,207,0,
