:,AbstractLeastSquaresOptimizer_ESTest::test0,AbstractLeastSquaresOptimizer_ESTest::test1,AbstractLeastSquaresOptimizer_ESTest::test2,AbstractLeastSquaresOptimizer_ESTest::test3,AbstractLeastSquaresOptimizer_ESTest::test4,AbstractLeastSquaresOptimizer_ESTest::test5,AbstractLeastSquaresOptimizer_ESTest::test6,AbstractLeastSquaresOptimizer_ESTest::test7,Weight_ESTest::test0,Weight_ESTest::test1,Weight_ESTest::test2,
AbstractLeastSquaresOptimizer_ESTest::test0 ,0,4,2,2,2,2,10,9,5,5,5,
AbstractLeastSquaresOptimizer_ESTest::test1 ,4,0,4,5,4,5,7,6,4,4,5,
AbstractLeastSquaresOptimizer_ESTest::test2 ,2,4,0,2,1,2,8,8,5,5,5,
AbstractLeastSquaresOptimizer_ESTest::test3 ,2,5,2,0,1,1,10,9,4,5,5,
AbstractLeastSquaresOptimizer_ESTest::test4 ,2,4,1,1,0,2,9,8,4,5,5,
AbstractLeastSquaresOptimizer_ESTest::test5 ,2,5,2,1,2,0,10,9,5,5,4,
AbstractLeastSquaresOptimizer_ESTest::test6 ,10,7,8,10,9,10,0,3,7,7,8,
AbstractLeastSquaresOptimizer_ESTest::test7 ,9,6,8,9,8,9,3,0,7,6,7,
Weight_ESTest::test0 ,5,4,5,4,4,5,7,7,0,3,3,
Weight_ESTest::test1 ,5,4,5,5,5,5,7,6,3,0,2,
Weight_ESTest::test2 ,5,5,5,5,5,4,8,7,3,2,0,
