:,RegressionTest0::test01,RegressionTest0::test02,RegressionTest0::test03,RegressionTest0::test04,RegressionTest0::test05,RegressionTest0::test06,RegressionTest0::test07,RegressionTest0::test08,RegressionTest0::test09,RegressionTest0::test10,
RegressionTest0::test01 ,0,16,35,20,21,5,61,20,18,20,
RegressionTest0::test02 ,16,0,36,6,10,16,61,13,5,6,
RegressionTest0::test03 ,35,36,0,40,42,37,27,31,36,39,
RegressionTest0::test04 ,20,6,40,0,5,16,67,19,8,1,
RegressionTest0::test05 ,21,10,42,5,0,17,69,22,12,6,
RegressionTest0::test06 ,5,16,37,16,17,0,62,22,18,15,
RegressionTest0::test07 ,61,61,27,67,69,62,0,55,63,66,
RegressionTest0::test08 ,20,13,31,19,22,22,55,0,14,19,
RegressionTest0::test09 ,18,5,36,8,12,18,63,14,0,7,
RegressionTest0::test10 ,20,6,39,1,6,15,66,19,7,0,
