:,BrentOptimizerTest::testBoundaries,BrentOptimizerTest::testKeepInitIfBest,BrentOptimizerTest::testMath832,BrentOptimizerTest::testMath855,BrentOptimizerTest::testMinEndpoints,BrentOptimizerTest::testQuinticMax,BrentOptimizerTest::testQuinticMin,BrentOptimizerTest::testQuinticMinStatistics,BrentOptimizerTest::testSinMin,BrentOptimizerTest::testSinMinWithValueChecker,
BrentOptimizerTest::testBoundaries ,0,39,8,39,6,6,13,31,17,8,
BrentOptimizerTest::testKeepInitIfBest ,39,0,38,0,39,39,34,32,35,36,
BrentOptimizerTest::testMath832 ,8,38,0,38,4,4,13,31,20,2,
BrentOptimizerTest::testMath855 ,39,0,38,0,39,39,34,32,35,36,
BrentOptimizerTest::testMinEndpoints ,6,39,4,39,0,3,10,29,18,4,
BrentOptimizerTest::testQuinticMax ,6,39,4,39,3,0,13,31,18,4,
BrentOptimizerTest::testQuinticMin ,13,34,13,34,10,13,0,23,12,12,
BrentOptimizerTest::testQuinticMinStatistics ,31,32,31,32,29,31,23,0,25,29,
BrentOptimizerTest::testSinMin ,17,35,20,35,18,18,12,25,0,19,
BrentOptimizerTest::testSinMinWithValueChecker ,8,36,2,36,4,4,12,29,19,0,
