:,MultidimensionalCounter_ESTest::test00,MultidimensionalCounter_ESTest::test01,MultidimensionalCounter_ESTest::test02,MultidimensionalCounter_ESTest::test03,MultidimensionalCounter_ESTest::test04,MultidimensionalCounter_ESTest::test05,MultidimensionalCounter_ESTest::test06,MultidimensionalCounter_ESTest::test07,MultidimensionalCounter_ESTest::test08,MultidimensionalCounter_ESTest::test09,MultidimensionalCounter_ESTest::test10,MultidimensionalCounter_ESTest::test11,MultidimensionalCounter_ESTest::test12,MultidimensionalCounter_ESTest::test13,MultidimensionalCounter_ESTest::test14,
MultidimensionalCounter_ESTest::test00 ,0,6,8,3,6,1,5,5,2,19,2,0,5,1,0,
MultidimensionalCounter_ESTest::test01 ,6,0,6,6,2,6,8,8,6,15,6,6,1,6,6,
MultidimensionalCounter_ESTest::test02 ,8,6,0,9,6,9,9,12,7,16,7,8,5,9,8,
MultidimensionalCounter_ESTest::test03 ,3,6,9,0,7,2,5,7,3,19,3,3,7,2,3,
MultidimensionalCounter_ESTest::test04 ,6,2,6,7,0,6,6,10,7,15,7,6,1,6,6,
MultidimensionalCounter_ESTest::test05 ,1,6,9,2,6,0,5,5,3,19,3,1,6,0,1,
MultidimensionalCounter_ESTest::test06 ,5,8,9,5,6,5,0,10,5,18,5,5,7,5,5,
MultidimensionalCounter_ESTest::test07 ,5,8,12,7,10,5,10,0,7,22,7,5,9,5,5,
MultidimensionalCounter_ESTest::test08 ,2,6,7,3,7,3,5,7,0,19,1,2,6,3,2,
MultidimensionalCounter_ESTest::test09 ,19,15,16,19,15,19,18,22,19,0,19,19,15,19,19,
MultidimensionalCounter_ESTest::test10 ,2,6,7,3,7,3,5,7,1,19,0,2,6,3,2,
MultidimensionalCounter_ESTest::test11 ,0,6,8,3,6,1,5,5,2,19,2,0,5,1,0,
MultidimensionalCounter_ESTest::test12 ,5,1,5,7,1,6,7,9,6,15,6,5,0,6,5,
MultidimensionalCounter_ESTest::test13 ,1,6,9,2,6,0,5,5,3,19,3,1,6,0,1,
MultidimensionalCounter_ESTest::test14 ,0,6,8,3,6,1,5,5,2,19,2,0,5,1,0,
