:,Line_ESTest::test00,Line_ESTest::test01,Line_ESTest::test02,Line_ESTest::test03,Line_ESTest::test04,Line_ESTest::test05,Line_ESTest::test06,Line_ESTest::test07,Line_ESTest::test08,Line_ESTest::test09,Line_ESTest::test10,Line_ESTest::test11,Line_ESTest::test12,Line_ESTest::test13,Line_ESTest::test14,
Line_ESTest::test00 ,0,1,1,0,2,1,2,1,2,1,3,2,1,2,0,
Line_ESTest::test01 ,1,0,0,1,3,0,3,0,3,1,2,3,2,3,1,
Line_ESTest::test02 ,1,0,0,1,3,0,3,0,3,1,2,3,2,3,1,
Line_ESTest::test03 ,0,1,1,0,2,1,2,1,2,1,3,2,1,2,0,
Line_ESTest::test04 ,2,3,3,2,0,3,1,3,0,3,5,0,2,0,2,
Line_ESTest::test05 ,1,0,0,1,3,0,3,0,3,1,2,3,2,3,1,
Line_ESTest::test06 ,2,3,3,2,1,3,0,3,1,3,5,1,2,1,2,
Line_ESTest::test07 ,1,0,0,1,3,0,3,0,3,1,2,3,2,3,1,
Line_ESTest::test08 ,2,3,3,2,0,3,1,3,0,3,5,0,2,0,2,
Line_ESTest::test09 ,1,1,1,1,3,1,3,1,3,0,2,3,2,3,1,
Line_ESTest::test10 ,3,2,2,3,5,2,5,2,5,2,0,5,4,5,3,
Line_ESTest::test11 ,2,3,3,2,0,3,1,3,0,3,5,0,2,0,2,
Line_ESTest::test12 ,1,2,2,1,2,2,2,2,2,2,4,2,0,2,1,
Line_ESTest::test13 ,2,3,3,2,0,3,1,3,0,3,5,0,2,0,2,
Line_ESTest::test14 ,0,1,1,0,2,1,2,1,2,1,3,2,1,2,0,
