:,Rotation_ESTest::test00,Rotation_ESTest::test01,Rotation_ESTest::test02,Rotation_ESTest::test03,Rotation_ESTest::test04,Rotation_ESTest::test05,Rotation_ESTest::test06,Rotation_ESTest::test07,Rotation_ESTest::test08,Rotation_ESTest::test09,Rotation_ESTest::test10,Rotation_ESTest::test11,Rotation_ESTest::test12,Rotation_ESTest::test13,Rotation_ESTest::test14,Rotation_ESTest::test15,Rotation_ESTest::test16,Rotation_ESTest::test17,Rotation_ESTest::test18,Rotation_ESTest::test19,Rotation_ESTest::test20,Rotation_ESTest::test21,Rotation_ESTest::test22,Rotation_ESTest::test23,Rotation_ESTest::test24,Rotation_ESTest::test25,Rotation_ESTest::test26,Rotation_ESTest::test27,Rotation_ESTest::test28,Rotation_ESTest::test29,Rotation_ESTest::test30,Rotation_ESTest::test31,Rotation_ESTest::test32,Rotation_ESTest::test33,Rotation_ESTest::test34,Rotation_ESTest::test35,Rotation_ESTest::test36,Rotation_ESTest::test37,Rotation_ESTest::test38,Rotation_ESTest::test39,Rotation_ESTest::test40,Rotation_ESTest::test41,Rotation_ESTest::test42,Rotation_ESTest::test43,Rotation_ESTest::test44,Rotation_ESTest::test45,Rotation_ESTest::test46,Rotation_ESTest::test47,Rotation_ESTest::test48,Rotation_ESTest::test49,Rotation_ESTest::test50,Rotation_ESTest::test51,Rotation_ESTest::test52,Rotation_ESTest::test53,Rotation_ESTest::test54,Rotation_ESTest::test55,Rotation_ESTest::test56,Rotation_ESTest::test57,Rotation_ESTest::test58,Rotation_ESTest::test59,Rotation_ESTest::test60,Rotation_ESTest::test61,Rotation_ESTest::test62,Rotation_ESTest::test63,
Rotation_ESTest::test00 ,0,4,3,3,4,3,5,4,4,3,4,3,7,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,4,3,4,4,4,4,4,12,4,4,12,4,4,11,11,4,4,4,4,12,11,4,11,4,11,7,4,11,3,4,4,7,4,8,4,2,
Rotation_ESTest::test01 ,4,0,3,3,2,3,6,4,3,3,5,4,8,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,12,3,3,12,3,3,12,12,3,3,3,3,12,13,3,13,3,13,4,3,13,3,3,4,4,3,5,3,4,
Rotation_ESTest::test02 ,3,3,0,1,1,0,6,3,2,1,4,3,8,2,2,1,1,1,1,1,0,1,1,2,1,2,0,3,1,0,2,2,2,2,2,13,2,2,13,2,2,12,12,2,2,2,2,13,12,1,12,1,12,6,1,12,1,1,3,6,1,7,1,3,
Rotation_ESTest::test03 ,3,3,1,0,2,1,6,3,2,2,5,4,8,2,2,2,2,2,2,1,1,1,2,2,0,2,1,3,2,1,2,1,1,1,1,12,1,1,12,1,1,11,11,1,1,1,2,12,11,2,11,2,11,5,2,11,1,2,3,5,2,6,2,4,
Rotation_ESTest::test04 ,4,2,1,2,0,1,6,4,3,2,5,4,8,2,2,2,2,2,2,1,1,2,2,3,2,2,1,3,0,1,3,3,3,3,3,13,3,3,13,3,3,12,12,3,3,3,3,13,13,1,13,1,13,6,1,13,2,1,4,6,1,7,1,4,
Rotation_ESTest::test05 ,3,3,0,1,1,0,6,3,2,1,4,3,8,2,2,1,1,1,1,1,0,1,1,2,1,2,0,3,1,0,2,2,2,2,2,13,2,2,13,2,2,12,12,2,2,2,2,13,12,1,12,1,12,6,1,12,1,1,3,6,1,7,1,3,
Rotation_ESTest::test06 ,5,6,6,6,6,6,0,6,7,5,5,3,2,5,5,5,5,5,5,5,6,6,5,6,6,7,6,4,6,6,7,6,6,6,6,10,6,6,10,6,6,10,10,6,6,6,7,10,10,7,10,7,10,7,7,10,6,7,6,7,7,8,7,4,
Rotation_ESTest::test07 ,4,4,3,3,4,3,6,0,3,3,4,3,8,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4,4,3,1,3,3,3,3,12,3,3,12,3,3,11,11,3,3,3,3,12,11,4,11,4,11,6,4,11,3,4,2,6,4,7,4,3,
Rotation_ESTest::test08 ,4,3,2,2,3,2,7,3,0,3,5,4,8,2,2,3,3,3,3,2,2,2,3,1,2,3,2,4,3,2,2,1,1,1,1,12,1,1,12,1,1,11,11,1,1,1,0,12,11,2,11,2,11,5,2,11,1,2,3,5,2,6,2,4,
Rotation_ESTest::test09 ,3,3,1,2,2,1,5,3,3,0,3,2,7,2,2,0,0,0,0,2,1,1,0,2,2,2,1,3,2,1,3,3,3,3,3,13,3,3,13,3,3,12,12,3,3,3,3,13,12,2,12,2,12,7,2,12,2,2,3,7,2,7,2,2,
Rotation_ESTest::test10 ,4,5,4,5,5,4,5,4,5,3,0,3,6,5,5,3,3,3,3,5,4,4,3,5,5,5,4,4,5,4,5,5,5,5,5,12,5,5,12,5,5,11,11,5,5,5,5,12,11,5,11,5,11,7,5,11,5,5,5,7,5,7,5,2,
Rotation_ESTest::test11 ,3,4,3,4,4,3,3,3,4,2,3,0,5,4,4,2,2,2,2,4,3,3,2,4,4,4,3,3,4,3,4,4,4,4,4,12,4,4,12,4,4,11,11,4,4,4,4,12,11,4,11,4,11,7,4,11,4,4,4,7,4,7,4,1,
Rotation_ESTest::test12 ,7,8,8,8,8,8,2,8,8,7,6,5,0,7,7,7,7,7,7,7,8,8,7,8,8,9,8,6,8,8,9,8,8,8,8,10,8,8,10,8,8,9,9,8,8,8,8,10,10,9,10,9,10,9,9,10,8,9,8,9,9,8,9,6,
Rotation_ESTest::test13 ,3,2,2,2,2,2,5,3,2,2,5,4,7,0,0,2,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,11,2,2,11,2,2,10,10,2,2,2,2,11,11,3,11,3,11,5,3,11,2,3,3,5,3,6,3,4,
Rotation_ESTest::test14 ,3,2,2,2,2,2,5,3,2,2,5,4,7,0,0,2,2,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,11,2,2,11,2,2,10,10,2,2,2,2,11,11,3,11,3,11,5,3,11,2,3,3,5,3,6,3,4,
Rotation_ESTest::test15 ,3,3,1,2,2,1,5,3,3,0,3,2,7,2,2,0,0,0,0,2,1,1,0,2,2,2,1,3,2,1,3,3,3,3,3,13,3,3,13,3,3,12,12,3,3,3,3,13,12,2,12,2,12,7,2,12,2,2,3,7,2,7,2,2,
Rotation_ESTest::test16 ,3,3,1,2,2,1,5,3,3,0,3,2,7,2,2,0,0,0,0,2,1,1,0,2,2,2,1,3,2,1,3,3,3,3,3,13,3,3,13,3,3,12,12,3,3,3,3,13,12,2,12,2,12,7,2,12,2,2,3,7,2,7,2,2,
Rotation_ESTest::test17 ,3,3,1,2,2,1,5,3,3,0,3,2,7,2,2,0,0,0,0,2,1,1,0,2,2,2,1,3,2,1,3,3,3,3,3,13,3,3,13,3,3,12,12,3,3,3,3,13,12,2,12,2,12,7,2,12,2,2,3,7,2,7,2,2,
