:,BigFractionFieldTest::testOne,BigFractionFieldTest::testSerial,BigFractionFieldTest::testZero,BigFractionFormatTest::testDenominatorFormat,BigFractionFormatTest::testDoubleFormat,BigFractionFormatTest::testFormat,BigFractionFormatTest::testFormatImproper,BigFractionFormatTest::testFormatImproperNegative,BigFractionFormatTest::testFormatNegative,BigFractionFormatTest::testFormatZero,BigFractionFormatTest::testLongFormat,BigFractionFormatTest::testNumeratorFormat,BigFractionFormatTest::testParse,BigFractionFormatTest::testParseBig,BigFractionFormatTest::testParseInteger,BigFractionFormatTest::testParseInvalid,BigFractionFormatTest::testParseInvalidDenominator,BigFractionFormatTest::testParseNegative,BigFractionFormatTest::testParseProper,BigFractionFormatTest::testParseProperInvalidMinus,BigFractionFormatTest::testParseProperNegative,BigFractionFormatTest::testWholeFormat,BigFractionTest::testAbs,BigFractionTest::testAdd,BigFractionTest::testBigDecimalValue,BigFractionTest::testCompareTo,BigFractionTest::testConstructor,BigFractionTest::testConstructorDouble,BigFractionTest::testDigitLimitConstructor,BigFractionTest::testDivide,BigFractionTest::testDoubleConstructor,BigFractionTest::testDoubleValue,BigFractionTest::testDoubleValueForLargeNumeratorAndDenominator,BigFractionTest::testEpsilonLimitConstructor,BigFractionTest::testEqualsAndHashCode,BigFractionTest::testFloatValue,BigFractionTest::testFloatValueForLargeNumeratorAndDenominator,BigFractionTest::testGetReducedFraction,BigFractionTest::testGoldenRatio,BigFractionTest::testIntValue,BigFractionTest::testLongValue,BigFractionTest::testMath340,BigFractionTest::testMultiply,BigFractionTest::testNegate,BigFractionTest::testPercentage,BigFractionTest::testPow,BigFractionTest::testReciprocal,BigFractionTest::testSerial,BigFractionTest::testSubtract,ContinuedFractionTest::testGoldenRatio,FractionFieldTest::testOne,FractionFieldTest::testSerial,FractionFieldTest::testZero,FractionFormatTest::testDenominatorFormat,FractionFormatTest::testDoubleFormat,FractionFormatTest::testFormat,FractionFormatTest::testFormatImproper,FractionFormatTest::testFormatImproperNegative,FractionFormatTest::testFormatNegative,FractionFormatTest::testFormatZero,FractionFormatTest::testLongFormat,FractionFormatTest::testNumeratorFormat,FractionFormatTest::testParse,FractionFormatTest::testParseInteger,FractionFormatTest::testParseInvalid,FractionFormatTest::testParseInvalidDenominator,FractionFormatTest::testParseNegative,FractionFormatTest::testParseOne1,FractionFormatTest::testParseOne2,FractionFormatTest::testParseProper,FractionFormatTest::testParseProperInvalidMinus,FractionFormatTest::testParseProperNegative,FractionFormatTest::testParseZero1,FractionFormatTest::testParseZero2,FractionFormatTest::testWholeFormat,FractionTest::testAbs,FractionTest::testAdd,FractionTest::testCompareTo,FractionTest::testConstructor,FractionTest::testConstructorDouble,FractionTest::testDigitLimitConstructor,FractionTest::testDivide,FractionTest::testDoubleConstructor,FractionTest::testDoubleValue,FractionTest::testEpsilonLimitConstructor,FractionTest::testEqualsAndHashCode,FractionTest::testFloatValue,FractionTest::testGetReducedFraction,FractionTest::testGoldenRatio,FractionTest::testIntValue,FractionTest::testIntegerOverflow,FractionTest::testLongValue,FractionTest::testMath835,FractionTest::testMultiply,FractionTest::testNegate,FractionTest::testPercentage,FractionTest::testReciprocal,FractionTest::testSerial,FractionTest::testSubtract,FractionTest::testToString,
BigFractionFieldTest::testOne ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
BigFractionFieldTest::testSerial ,2,0,2,1,2,2,3,4,3,2,2,1,2,7,2,2,2,8,3,2,3,1,27,75,19,22,94,33,41,55,247,7,6,45,13,7,7,15,7,9,7,3,28,18,2,51,27,34,37,2,2,0,2,1,2,2,3,4,3,2,2,1,6,6,2,2,8,4,4,3,2,3,4,7,1,27,73,22,62,31,41,56,165,7,45,13,7,15,7,9,2,7,2,31,20,2,27,34,60,11,
BigFractionFieldTest::testZero ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
BigFractionFormatTest::testDenominatorFormat ,2,1,2,0,2,2,3,4,3,2,2,0,2,7,2,2,2,8,3,2,3,1,27,75,18,21,94,33,41,55,246,6,6,45,13,6,7,15,7,9,7,3,27,18,2,52,27,35,37,2,2,1,2,0,2,2,3,4,3,2,2,0,6,6,2,2,8,4,4,3,2,3,4,7,1,27,72,21,62,30,41,56,164,6,45,13,6,15,7,9,2,7,1,30,19,2,27,35,60,12,
BigFractionFormatTest::testDoubleFormat ,0,2,0,2,0,3,3,4,3,3,0,2,0,7,0,2,2,8,3,2,3,1,27,77,20,23,96,35,41,57,248,8,6,45,15,8,7,17,7,10,8,3,29,18,3,52,28,36,39,2,0,2,0,2,0,3,3,4,3,3,0,2,6,6,2,2,8,4,4,3,2,3,4,7,1,27,74,23,64,32,41,58,166,8,45,15,8,17,7,10,0,8,3,32,20,3,28,36,62,12,
BigFractionFormatTest::testFormat ,3,2,3,2,3,0,2,3,1,2,3,2,3,6,3,3,3,8,3,3,3,2,26,74,17,20,93,32,39,54,245,5,6,44,12,5,6,14,6,7,5,2,26,17,0,50,26,33,36,2,3,2,3,2,3,0,2,3,1,2,3,2,6,6,3,3,8,4,4,3,3,3,4,7,2,26,71,20,61,29,39,55,163,5,44,12,5,14,6,7,3,5,2,29,19,0,26,33,59,10,
BigFractionFormatTest::testFormatImproper ,3,3,3,3,3,2,0,2,2,2,3,3,3,5,3,3,3,8,3,3,3,3,26,75,18,21,94,33,38,55,245,6,6,43,14,6,6,15,6,8,6,2,27,17,2,50,26,34,37,2,3,3,3,3,3,2,0,2,2,2,3,3,6,6,3,3,8,4,4,3,3,3,4,7,3,26,71,21,62,30,38,55,163,6,43,14,6,15,6,8,3,6,3,30,19,2,26,34,59,10,
BigFractionFormatTest::testFormatImproperNegative ,4,4,4,4,4,3,2,0,3,3,4,4,4,4,4,4,4,8,4,4,4,4,25,74,17,21,94,33,38,55,245,6,6,42,14,6,7,15,5,8,6,3,27,16,3,49,25,33,36,3,4,4,4,4,4,3,2,0,3,3,4,4,6,6,4,4,8,4,4,4,4,4,4,7,4,25,71,21,62,29,38,55,163,6,42,14,6,15,5,8,4,6,4,29,18,3,25,33,59,10,
BigFractionFormatTest::testFormatNegative ,3,3,3,3,3,1,2,3,0,2,3,3,3,6,3,3,3,8,3,3,3,3,26,75,18,21,93,32,39,55,246,6,6,44,13,6,6,14,6,8,6,2,27,17,1,50,27,34,37,2,3,3,3,3,3,1,2,3,0,2,3,3,6,6,3,3,8,4,4,3,3,3,4,7,3,26,71,21,61,29,39,56,164,6,44,13,6,14,6,8,3,6,3,30,19,1,27,34,59,10,
BigFractionFormatTest::testFormatZero ,3,2,3,2,3,2,2,3,2,0,3,2,3,6,3,3,3,8,3,3,3,2,26,74,18,21,93,32,40,54,246,6,6,44,12,6,6,14,6,9,7,2,27,17,2,50,25,33,36,2,3,2,3,2,3,2,2,3,2,0,3,2,6,6,3,3,8,4,4,3,3,3,4,7,2,26,72,21,61,31,40,55,164,6,44,12,6,14,6,9,3,7,2,30,18,2,25,33,59,10,
