:,BisectionSolverTest::testDeprecated,BisectionSolverTest::testMath369,BisectionSolverTest::testQuinticZero,BisectionSolverTest::testResetAbsoluteAccuracy,BisectionSolverTest::testResetFunctionValueAccuracy,BisectionSolverTest::testResetMaximalIterationCount,BisectionSolverTest::testResetRelativeAccuracy,BisectionSolverTest::testSetAbsoluteAccuracy,BisectionSolverTest::testSetFunctionValueAccuracy,BisectionSolverTest::testSetMaximalIterationCount,BisectionSolverTest::testSetRelativeAccuracy,BisectionSolverTest::testSinZero,
BisectionSolverTest::testDeprecated ,0,1,10,2,2,3,2,2,2,3,2,0,
BisectionSolverTest::testMath369 ,1,0,11,1,1,2,1,1,1,2,1,1,
BisectionSolverTest::testQuinticZero ,10,11,0,12,12,13,12,12,12,13,12,10,
BisectionSolverTest::testResetAbsoluteAccuracy ,2,1,12,0,0,2,0,0,0,2,0,2,
BisectionSolverTest::testResetFunctionValueAccuracy ,2,1,12,0,0,2,0,0,0,2,0,2,
BisectionSolverTest::testResetMaximalIterationCount ,3,2,13,2,2,0,2,2,2,2,2,3,
BisectionSolverTest::testResetRelativeAccuracy ,2,1,12,0,0,2,0,0,0,2,0,2,
BisectionSolverTest::testSetAbsoluteAccuracy ,2,1,12,0,0,2,0,0,0,2,0,2,
BisectionSolverTest::testSetFunctionValueAccuracy ,2,1,12,0,0,2,0,0,0,2,0,2,
BisectionSolverTest::testSetMaximalIterationCount ,3,2,13,2,2,2,2,2,2,0,2,3,
BisectionSolverTest::testSetRelativeAccuracy ,2,1,12,0,0,2,0,0,0,2,0,2,
BisectionSolverTest::testSinZero ,0,1,10,2,2,3,2,2,2,3,2,0,
