:,AbstractLeastSquaresOptimizer_ESTest::test00,AbstractLeastSquaresOptimizer_ESTest::test01,AbstractLeastSquaresOptimizer_ESTest::test02,AbstractLeastSquaresOptimizer_ESTest::test03,AbstractLeastSquaresOptimizer_ESTest::test04,AbstractLeastSquaresOptimizer_ESTest::test05,AbstractLeastSquaresOptimizer_ESTest::test06,AbstractLeastSquaresOptimizer_ESTest::test07,AbstractLeastSquaresOptimizer_ESTest::test08,AbstractLeastSquaresOptimizer_ESTest::test09,AbstractLeastSquaresOptimizer_ESTest::test10,AbstractLeastSquaresOptimizer_ESTest::test11,AbstractLeastSquaresOptimizer_ESTest::test12,AbstractLeastSquaresOptimizer_ESTest::test13,AbstractLeastSquaresOptimizer_ESTest::test14,
AbstractLeastSquaresOptimizer_ESTest::test00 ,0,2,2,1,2,2,2,4,13,12,3,13,3,3,9,
AbstractLeastSquaresOptimizer_ESTest::test01 ,2,0,2,1,2,2,1,3,12,11,3,12,3,3,8,
AbstractLeastSquaresOptimizer_ESTest::test02 ,2,2,0,2,0,2,2,4,13,12,4,13,4,4,8,
AbstractLeastSquaresOptimizer_ESTest::test03 ,1,1,2,0,2,2,1,4,13,12,3,13,3,2,9,
AbstractLeastSquaresOptimizer_ESTest::test04 ,2,2,0,2,0,2,2,4,13,12,4,13,4,4,8,
AbstractLeastSquaresOptimizer_ESTest::test05 ,2,2,2,2,2,0,2,4,13,12,4,13,4,4,8,
AbstractLeastSquaresOptimizer_ESTest::test06 ,2,1,2,1,2,2,0,4,12,11,3,12,3,2,9,
AbstractLeastSquaresOptimizer_ESTest::test07 ,4,3,4,4,4,4,4,0,11,10,2,11,3,3,7,
AbstractLeastSquaresOptimizer_ESTest::test08 ,13,12,13,13,13,13,12,11,0,3,12,9,11,12,8,
AbstractLeastSquaresOptimizer_ESTest::test09 ,12,11,12,12,12,12,11,10,3,0,11,7,11,11,8,
AbstractLeastSquaresOptimizer_ESTest::test10 ,3,3,4,3,4,4,3,2,12,11,0,12,2,2,8,
AbstractLeastSquaresOptimizer_ESTest::test11 ,13,12,13,13,13,13,12,11,9,7,12,0,12,12,8,
AbstractLeastSquaresOptimizer_ESTest::test12 ,3,3,4,3,4,4,3,3,11,11,2,12,0,2,7,
AbstractLeastSquaresOptimizer_ESTest::test13 ,3,3,4,2,4,4,2,3,12,11,2,12,2,0,8,
AbstractLeastSquaresOptimizer_ESTest::test14 ,9,8,8,9,8,8,9,7,8,8,8,8,7,8,0,
