:,RotationOrderTest::testName,RotationTest::testAngles,RotationTest::testApplyInverseTo,RotationTest::testAxisAngle,RotationTest::testCompose,RotationTest::testComposeInverse,RotationTest::testIdentity,RotationTest::testIssue639,RotationTest::testMatrix,RotationTest::testQuaternion,RotationTest::testRevert,RotationTest::testSingularities,RotationTest::testVectorOnePair,RotationTest::testVectorTwoPairs,
RotationOrderTest::testName ,0,42,42,40,43,43,46,45,712,43,46,43,43,37,
RotationTest::testAngles ,42,0,60,66,63,63,70,71,692,62,72,33,69,62,
RotationTest::testApplyInverseTo ,42,60,0,20,19,19,23,25,731,17,25,69,23,25,
RotationTest::testAxisAngle ,40,66,20,0,11,11,11,13,732,17,9,67,10,20,
RotationTest::testCompose ,43,63,19,11,0,0,11,8,737,11,10,72,7,27,
RotationTest::testComposeInverse ,43,63,19,11,0,0,11,8,737,11,10,72,7,27,
RotationTest::testIdentity ,46,70,23,11,11,11,0,11,733,19,7,72,11,21,
RotationTest::testIssue639 ,45,71,25,13,8,8,11,0,743,18,9,74,4,29,
RotationTest::testMatrix ,712,692,731,732,737,737,733,743,0,735,736,682,739,718,
RotationTest::testQuaternion ,43,62,17,17,11,11,19,18,735,0,19,70,17,26,
RotationTest::testRevert ,46,72,25,9,10,10,7,9,736,19,0,74,8,24,
RotationTest::testSingularities ,43,33,69,67,72,72,72,74,682,70,74,0,71,63,
RotationTest::testVectorOnePair ,43,69,23,10,7,7,11,4,739,17,8,71,0,26,
RotationTest::testVectorTwoPairs ,37,62,25,20,27,27,21,29,718,26,24,63,26,0,
