:,BaseSecantSolver_ESTest::test00,BaseSecantSolver_ESTest::test01,BaseSecantSolver_ESTest::test02,BaseSecantSolver_ESTest::test03,BaseSecantSolver_ESTest::test04,BaseSecantSolver_ESTest::test05,BaseSecantSolver_ESTest::test06,BaseSecantSolver_ESTest::test07,BaseSecantSolver_ESTest::test08,BaseSecantSolver_ESTest::test09,BaseSecantSolver_ESTest::test10,BaseSecantSolver_ESTest::test11,BaseSecantSolver_ESTest::test12,BaseSecantSolver_ESTest::test13,BaseSecantSolver_ESTest::test14,BaseSecantSolver_ESTest::test15,BaseSecantSolver_ESTest::test16,BaseSecantSolver_ESTest::test17,BaseSecantSolver_ESTest::test18,
BaseSecantSolver_ESTest::test00 ,0,2,2,4,2,1,2,2,2,2,2,2,2,2,3,2,4,2,3,
BaseSecantSolver_ESTest::test01 ,2,0,2,3,3,3,2,2,2,2,2,2,3,3,2,2,3,2,2,
BaseSecantSolver_ESTest::test02 ,2,2,0,3,2,2,1,1,1,1,1,1,2,2,2,1,3,1,2,
BaseSecantSolver_ESTest::test03 ,4,3,3,0,2,3,3,3,3,3,3,3,4,4,3,3,4,3,3,
BaseSecantSolver_ESTest::test04 ,2,3,2,2,0,1,2,2,2,2,2,2,2,2,3,2,4,2,3,
BaseSecantSolver_ESTest::test05 ,1,3,2,3,1,0,2,2,2,2,2,2,2,2,3,2,4,2,3,
BaseSecantSolver_ESTest::test06 ,2,2,1,3,2,2,0,1,1,1,1,1,2,2,2,1,3,1,2,
BaseSecantSolver_ESTest::test07 ,2,2,1,3,2,2,1,0,1,1,1,1,2,2,2,1,3,1,2,
BaseSecantSolver_ESTest::test08 ,2,2,1,3,2,2,1,1,0,1,1,1,2,2,2,1,3,1,2,
BaseSecantSolver_ESTest::test09 ,2,2,1,3,2,2,1,1,1,0,1,1,2,2,2,1,3,1,2,
BaseSecantSolver_ESTest::test10 ,2,2,1,3,2,2,1,1,1,1,0,0,2,2,1,1,2,0,2,
BaseSecantSolver_ESTest::test11 ,2,2,1,3,2,2,1,1,1,1,0,0,2,2,1,1,2,0,2,
BaseSecantSolver_ESTest::test12 ,2,3,2,4,2,2,2,2,2,2,2,2,0,0,2,2,3,2,2,
BaseSecantSolver_ESTest::test13 ,2,3,2,4,2,2,2,2,2,2,2,2,0,0,2,2,3,2,2,
BaseSecantSolver_ESTest::test14 ,3,2,2,3,3,3,2,2,2,2,1,1,2,2,0,2,1,1,1,
BaseSecantSolver_ESTest::test15 ,2,2,1,3,2,2,1,1,1,1,1,1,2,2,2,0,3,1,2,
BaseSecantSolver_ESTest::test16 ,4,3,3,4,4,4,3,3,3,3,2,2,3,3,1,3,0,2,2,
BaseSecantSolver_ESTest::test17 ,2,2,1,3,2,2,1,1,1,1,0,0,2,2,1,1,2,0,2,
BaseSecantSolver_ESTest::test18 ,3,2,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,0,
