:,BaseSecantSolver_ESTest::test00,BaseSecantSolver_ESTest::test01,BaseSecantSolver_ESTest::test02,BaseSecantSolver_ESTest::test03,BaseSecantSolver_ESTest::test04,BaseSecantSolver_ESTest::test05,BaseSecantSolver_ESTest::test06,BaseSecantSolver_ESTest::test07,BaseSecantSolver_ESTest::test08,BaseSecantSolver_ESTest::test09,BaseSecantSolver_ESTest::test10,BaseSecantSolver_ESTest::test11,BaseSecantSolver_ESTest::test12,BaseSecantSolver_ESTest::test13,BaseSecantSolver_ESTest::test14,BaseSecantSolver_ESTest::test15,BaseSecantSolver_ESTest::test16,BaseSecantSolver_ESTest::test17,
BaseSecantSolver_ESTest::test00 ,0,2,2,2,2,4,3,1,1,1,1,2,1,1,1,2,1,2,
BaseSecantSolver_ESTest::test01 ,2,0,3,3,3,4,3,1,1,1,1,3,1,1,1,3,1,3,
BaseSecantSolver_ESTest::test02 ,2,3,0,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,
BaseSecantSolver_ESTest::test03 ,2,3,1,0,1,3,3,2,2,2,2,2,2,2,2,2,2,2,
BaseSecantSolver_ESTest::test04 ,2,3,1,1,0,3,3,2,2,2,2,2,2,2,2,2,2,2,
BaseSecantSolver_ESTest::test05 ,4,4,3,3,3,0,3,4,4,4,4,4,4,4,4,4,4,4,
BaseSecantSolver_ESTest::test06 ,3,3,3,3,3,3,0,3,3,3,3,2,3,3,3,2,3,2,
BaseSecantSolver_ESTest::test07 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test08 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test09 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test10 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test11 ,2,3,2,2,2,4,2,2,2,2,2,0,2,2,2,1,2,1,
BaseSecantSolver_ESTest::test12 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test13 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test14 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test15 ,2,3,2,2,2,4,2,2,2,2,2,1,2,2,2,0,2,0,
BaseSecantSolver_ESTest::test16 ,1,1,2,2,2,4,3,0,0,0,0,2,0,0,0,2,0,2,
BaseSecantSolver_ESTest::test17 ,2,3,2,2,2,4,2,2,2,2,2,1,2,2,2,0,2,0,
