:,SingularValueDecompositionImplTest::testAEqualUSVt,SingularValueDecompositionImplTest::testConditionNumber,SingularValueDecompositionImplTest::testDimensions,SingularValueDecompositionImplTest::testHadamard,SingularValueDecompositionImplTest::testMatricesValues1,SingularValueDecompositionImplTest::testMatricesValues2,SingularValueDecompositionImplTest::testMoreColumns,SingularValueDecompositionImplTest::testMoreRows,SingularValueDecompositionImplTest::testUOrthogonal,SingularValueDecompositionImplTest::testVOrthogonal,SingularValueSolverTest::testConditionNumber,SingularValueSolverTest::testLeastSquareSolve,SingularValueSolverTest::testMath320A,SingularValueSolverTest::testMath320B,SingularValueSolverTest::testSolve,SingularValueSolverTest::testSolveDimensionErrors,SingularValueSolverTest::testTruncated,
SingularValueDecompositionImplTest::testAEqualUSVt ,0,1,1,237,88,175,27,27,3,3,1,80,135,30,75,9,69,
SingularValueDecompositionImplTest::testConditionNumber ,1,0,0,236,87,174,26,26,2,2,0,79,134,29,74,8,68,
SingularValueDecompositionImplTest::testDimensions ,1,0,0,236,87,174,26,26,2,2,0,79,134,29,74,8,68,
SingularValueDecompositionImplTest::testHadamard ,237,236,236,0,159,97,216,216,234,234,236,176,157,209,169,231,179,
SingularValueDecompositionImplTest::testMatricesValues1 ,88,87,87,159,0,92,70,70,85,85,87,34,76,59,38,83,45,
SingularValueDecompositionImplTest::testMatricesValues2 ,175,174,174,97,92,0,156,156,172,172,174,112,96,147,107,169,118,
SingularValueDecompositionImplTest::testMoreColumns ,27,26,26,216,70,156,0,2,24,24,26,60,111,23,56,23,45,
SingularValueDecompositionImplTest::testMoreRows ,27,26,26,216,70,156,2,0,24,24,26,60,111,23,56,22,45,
SingularValueDecompositionImplTest::testUOrthogonal ,3,2,2,234,85,172,24,24,0,0,2,77,132,27,72,7,66,
SingularValueDecompositionImplTest::testVOrthogonal ,3,2,2,234,85,172,24,24,0,0,2,77,132,27,72,7,66,
SingularValueSolverTest::testConditionNumber ,1,0,0,236,87,174,26,26,2,2,0,79,134,29,74,8,68,
SingularValueSolverTest::testLeastSquareSolve ,80,79,79,176,34,112,60,60,77,77,79,0,86,53,34,75,42,
SingularValueSolverTest::testMath320A ,135,134,134,157,76,96,111,111,132,132,134,86,0,109,75,129,67,
SingularValueSolverTest::testMath320B ,30,29,29,209,59,147,23,23,27,27,29,53,109,0,47,25,44,
SingularValueSolverTest::testSolve ,75,74,74,169,38,107,56,56,72,72,74,34,75,47,0,69,22,
SingularValueSolverTest::testSolveDimensionErrors ,9,8,8,231,83,169,23,22,7,7,8,75,129,25,69,0,63,
SingularValueSolverTest::testTruncated ,69,68,68,179,45,118,45,45,66,66,68,42,67,44,22,63,0,
