:,NumberUtils_ESTest::test000,NumberUtils_ESTest::test001,NumberUtils_ESTest::test002,NumberUtils_ESTest::test003,NumberUtils_ESTest::test004,NumberUtils_ESTest::test005,NumberUtils_ESTest::test006,NumberUtils_ESTest::test007,NumberUtils_ESTest::test008,NumberUtils_ESTest::test009,NumberUtils_ESTest::test010,NumberUtils_ESTest::test011,NumberUtils_ESTest::test012,NumberUtils_ESTest::test013,NumberUtils_ESTest::test014,NumberUtils_ESTest::test015,NumberUtils_ESTest::test016,NumberUtils_ESTest::test017,NumberUtils_ESTest::test018,NumberUtils_ESTest::test019,NumberUtils_ESTest::test020,NumberUtils_ESTest::test021,NumberUtils_ESTest::test022,NumberUtils_ESTest::test023,NumberUtils_ESTest::test024,NumberUtils_ESTest::test025,NumberUtils_ESTest::test026,NumberUtils_ESTest::test027,NumberUtils_ESTest::test028,NumberUtils_ESTest::test029,NumberUtils_ESTest::test030,NumberUtils_ESTest::test031,NumberUtils_ESTest::test032,NumberUtils_ESTest::test033,NumberUtils_ESTest::test034,NumberUtils_ESTest::test035,NumberUtils_ESTest::test036,NumberUtils_ESTest::test037,NumberUtils_ESTest::test038,NumberUtils_ESTest::test039,NumberUtils_ESTest::test040,NumberUtils_ESTest::test041,NumberUtils_ESTest::test042,NumberUtils_ESTest::test043,NumberUtils_ESTest::test044,NumberUtils_ESTest::test045,NumberUtils_ESTest::test046,NumberUtils_ESTest::test047,NumberUtils_ESTest::test048,NumberUtils_ESTest::test049,NumberUtils_ESTest::test050,NumberUtils_ESTest::test051,NumberUtils_ESTest::test052,NumberUtils_ESTest::test053,NumberUtils_ESTest::test054,NumberUtils_ESTest::test055,NumberUtils_ESTest::test056,NumberUtils_ESTest::test057,NumberUtils_ESTest::test058,NumberUtils_ESTest::test059,NumberUtils_ESTest::test060,NumberUtils_ESTest::test061,NumberUtils_ESTest::test062,NumberUtils_ESTest::test063,NumberUtils_ESTest::test064,NumberUtils_ESTest::test065,NumberUtils_ESTest::test066,NumberUtils_ESTest::test067,NumberUtils_ESTest::test068,NumberUtils_ESTest::test069,NumberUtils_ESTest::test070,NumberUtils_ESTest::test071,NumberUtils_ESTest::test072,NumberUtils_ESTest::test073,NumberUtils_ESTest::test074,NumberUtils_ESTest::test075,NumberUtils_ESTest::test076,NumberUtils_ESTest::test077,NumberUtils_ESTest::test078,NumberUtils_ESTest::test079,NumberUtils_ESTest::test080,NumberUtils_ESTest::test081,NumberUtils_ESTest::test082,NumberUtils_ESTest::test083,NumberUtils_ESTest::test084,NumberUtils_ESTest::test085,NumberUtils_ESTest::test086,NumberUtils_ESTest::test087,NumberUtils_ESTest::test088,NumberUtils_ESTest::test089,NumberUtils_ESTest::test090,NumberUtils_ESTest::test091,NumberUtils_ESTest::test092,NumberUtils_ESTest::test093,NumberUtils_ESTest::test094,NumberUtils_ESTest::test095,NumberUtils_ESTest::test096,NumberUtils_ESTest::test097,NumberUtils_ESTest::test098,NumberUtils_ESTest::test099,NumberUtils_ESTest::test100,NumberUtils_ESTest::test101,NumberUtils_ESTest::test102,NumberUtils_ESTest::test103,NumberUtils_ESTest::test104,NumberUtils_ESTest::test105,NumberUtils_ESTest::test106,NumberUtils_ESTest::test107,NumberUtils_ESTest::test108,NumberUtils_ESTest::test109,NumberUtils_ESTest::test110,NumberUtils_ESTest::test111,NumberUtils_ESTest::test112,NumberUtils_ESTest::test113,NumberUtils_ESTest::test114,NumberUtils_ESTest::test115,NumberUtils_ESTest::test116,NumberUtils_ESTest::test117,NumberUtils_ESTest::test118,NumberUtils_ESTest::test119,NumberUtils_ESTest::test120,NumberUtils_ESTest::test121,NumberUtils_ESTest::test122,NumberUtils_ESTest::test123,NumberUtils_ESTest::test124,NumberUtils_ESTest::test125,NumberUtils_ESTest::test126,NumberUtils_ESTest::test127,NumberUtils_ESTest::test128,NumberUtils_ESTest::test129,NumberUtils_ESTest::test130,NumberUtils_ESTest::test131,NumberUtils_ESTest::test132,NumberUtils_ESTest::test133,NumberUtils_ESTest::test134,NumberUtils_ESTest::test135,
NumberUtils_ESTest::test034 ,4,2,2,4,5,0,4,1,1,2,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,4,5,2,4,9,2,3,6,4,2,7,2,4,6,5,2,4,7,6,4,2,5,3,2,4,6,3,2,3,6,2,4,7,2,4,5,5,2,4,7,6,2,2,7,4,5,6,5,6,2,2,4,5,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test035 ,4,1,2,4,5,2,4,1,3,1,3,2,2,1,1,3,3,0,1,0,1,0,0,1,0,0,2,2,0,1,0,0,1,0,2,0,0,0,1,1,1,2,1,1,1,1,1,1,1,2,4,5,1,3,10,1,3,8,3,1,9,2,4,7,6,1,3,7,7,4,2,5,5,1,3,8,5,1,3,8,1,3,8,2,4,6,5,1,3,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test036 ,4,1,2,4,5,2,4,1,3,1,3,2,2,1,1,3,3,0,1,0,1,0,0,1,0,0,2,2,0,1,0,0,1,0,2,0,0,0,1,1,1,2,1,1,1,1,1,1,1,2,4,5,1,3,10,1,3,8,3,1,9,2,4,7,6,1,3,7,7,4,2,5,5,1,3,8,5,1,3,8,1,3,8,2,4,6,5,1,3,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test037 ,4,1,2,4,5,2,4,1,3,1,3,2,2,1,1,3,3,0,1,0,1,0,0,1,0,0,2,2,0,1,0,0,1,0,2,0,0,0,1,1,1,2,1,1,1,1,1,1,1,2,4,5,1,3,10,1,3,8,3,1,9,2,4,7,6,1,3,7,7,4,2,5,5,1,3,8,5,1,3,8,1,3,8,2,4,6,5,1,3,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test038 ,4,0,2,4,6,2,4,1,3,1,3,2,2,1,1,3,3,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,0,0,0,2,0,1,1,1,1,1,1,2,4,5,2,4,10,2,4,8,4,2,9,2,4,7,6,2,4,7,7,4,2,5,5,2,4,8,5,2,4,8,2,4,8,2,4,6,5,2,4,7,6,0,2,8,5,6,7,7,7,1,0,5,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NumberUtils_ESTest::test039 ,4,0,2,4,6,2,4,1,3,1,3,2,2,1,1,3,3,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,0,0,0,2,0,1,1,1,1,1,1,2,4,5,2,4,10,2,4,8,4,2,9,2,4,7,6,2,4,7,7,4,2,5,5,2,4,8,5,2,4,8,2,4,8,2,4,6,5,2,4,7,6,0,2,8,5,6,7,7,7,1,0,5,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NumberUtils_ESTest::test040 ,4,0,2,4,6,2,4,1,3,1,3,2,2,1,1,3,3,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,0,0,0,2,0,1,1,1,1,1,1,2,4,5,2,4,10,2,4,8,4,2,9,2,4,7,6,2,4,7,7,4,2,5,5,2,4,8,5,2,4,8,2,4,8,2,4,6,5,2,4,7,6,0,2,8,5,6,7,7,7,1,0,5,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NumberUtils_ESTest::test041 ,4,2,2,4,5,0,4,1,1,2,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,4,5,2,4,9,2,3,6,4,2,7,2,4,6,5,2,4,7,6,4,2,5,3,2,4,6,3,2,3,6,2,4,7,2,4,5,5,2,4,7,6,2,2,7,4,5,6,5,6,2,2,4,5,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test042 ,4,0,2,4,6,2,4,1,3,1,3,2,2,1,1,3,3,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,1,0,0,0,2,0,1,1,1,1,1,1,2,4,5,2,4,10,2,4,8,4,2,9,2,4,7,6,2,4,7,7,4,2,5,5,2,4,8,5,2,4,8,2,4,8,2,4,6,5,2,4,7,6,0,2,8,5,6,7,7,7,1,0,5,7,7,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NumberUtils_ESTest::test043 ,4,1,1,4,6,2,4,1,2,1,2,2,1,0,1,2,3,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,4,5,1,4,10,1,4,8,4,1,9,1,4,7,6,1,4,7,7,4,1,5,5,1,4,8,5,1,4,8,1,4,8,1,4,6,5,1,4,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test044 ,4,1,1,4,6,2,4,1,2,1,2,2,1,0,1,2,3,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,4,5,1,4,10,1,4,8,4,1,9,1,4,7,6,1,4,7,7,4,1,5,5,1,4,8,5,1,4,8,1,4,8,1,4,6,5,1,4,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test045 ,4,1,1,4,6,2,4,1,2,1,2,2,1,0,1,2,3,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,4,5,1,4,10,1,4,8,4,1,9,1,4,7,6,1,4,7,7,4,1,5,5,1,4,8,5,1,4,8,1,4,8,1,4,6,5,1,4,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test046 ,4,1,1,4,6,2,4,1,2,1,2,2,1,0,1,2,3,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,4,5,1,4,10,1,4,8,4,1,9,1,4,7,6,1,4,7,7,4,1,5,5,1,4,8,5,1,4,8,1,4,8,1,4,6,5,1,4,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test047 ,4,1,1,4,6,2,4,1,2,1,2,2,1,0,1,2,3,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,4,5,1,4,10,1,4,8,4,1,9,1,4,7,6,1,4,7,7,4,1,5,5,1,4,8,5,1,4,8,1,4,8,1,4,6,5,1,4,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test048 ,4,1,1,4,6,2,4,1,2,1,2,2,1,0,1,2,3,1,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,1,4,5,1,4,10,1,4,8,4,1,9,1,4,7,6,1,4,7,7,4,1,5,5,1,4,8,5,1,4,8,1,4,8,1,4,6,5,1,4,7,6,1,2,8,5,6,7,7,7,1,1,5,7,7,7,7,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
NumberUtils_ESTest::test049 ,4,2,1,4,6,2,4,2,2,2,2,2,1,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,3,5,1,4,10,1,4,8,4,1,9,0,3,7,6,1,4,7,7,3,0,5,5,1,4,8,5,1,4,8,1,4,8,0,3,6,5,1,4,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test050 ,3,4,4,4,6,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,3,4,2,9,4,2,7,2,4,8,3,1,6,5,4,2,6,6,0,3,3,4,4,2,7,4,4,2,7,4,2,7,3,1,5,4,4,2,6,5,4,4,8,5,6,7,7,7,4,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test051 ,4,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,5,4,9,5,4,7,4,5,7,5,4,6,5,5,4,6,6,3,5,0,4,5,4,7,3,5,4,7,5,4,6,5,4,5,3,5,4,6,5,5,5,8,5,6,7,7,7,5,5,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
NumberUtils_ESTest::test052 ,4,2,1,4,5,2,4,2,2,2,2,2,1,1,2,2,3,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,5,0,3,10,0,3,8,3,0,9,1,4,7,6,0,3,7,7,4,1,5,5,0,3,8,5,0,3,8,0,3,8,1,4,6,5,0,3,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test053 ,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,0,8,3,1,7,1,3,8,4,2,6,5,3,1,6,6,2,4,4,3,3,0,6,4,3,1,7,3,1,7,4,2,5,4,3,1,6,5,4,3,8,5,6,7,7,7,3,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test054 ,10,10,10,10,8,9,10,10,9,10,9,9,10,10,10,9,8,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,9,10,8,0,10,9,6,9,10,7,10,9,7,8,10,8,5,7,9,10,9,7,10,8,7,8,10,9,8,10,9,8,10,9,8,9,10,8,7,8,10,8,8,8,8,6,7,7,9,10,8,9,6,8,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
NumberUtils_ESTest::test055 ,4,2,1,4,5,2,4,2,2,2,2,2,1,1,2,2,3,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,5,0,3,10,0,3,8,3,0,9,1,4,7,6,0,3,7,7,4,1,5,5,0,3,8,5,0,3,8,0,3,8,1,4,6,5,0,3,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test056 ,4,4,4,4,5,3,4,3,3,4,3,3,3,4,4,3,4,3,4,3,4,3,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,2,4,3,1,9,3,0,6,1,3,8,4,2,6,5,3,1,6,6,2,4,4,3,3,1,6,3,3,0,6,3,1,7,4,2,5,4,3,1,6,5,4,4,8,5,6,7,7,7,4,4,5,6,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test057 ,8,8,8,8,7,6,8,7,6,8,6,6,7,8,8,6,7,8,8,8,8,8,8,8,8,8,6,6,8,8,8,8,8,8,6,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,7,7,8,7,6,8,6,0,7,8,7,8,6,7,7,8,7,7,7,7,8,7,6,8,7,6,5,8,6,4,8,7,6,8,6,7,6,8,7,8,7,8,8,7,6,6,6,6,7,8,8,6,7,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
NumberUtils_ESTest::test058 ,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,1,9,3,1,7,0,3,7,4,2,5,5,3,1,6,6,2,4,4,4,3,1,7,4,3,1,7,3,0,6,4,2,5,4,3,1,6,5,4,4,8,5,6,7,7,7,4,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test059 ,4,2,1,4,5,2,4,2,2,2,2,2,1,1,2,2,3,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,5,0,3,10,0,3,8,3,0,9,1,4,7,6,0,3,7,7,4,1,5,5,0,3,8,5,0,3,8,0,3,8,1,4,6,5,0,3,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test060 ,9,9,9,9,8,7,9,8,7,9,7,7,8,9,9,7,7,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,7,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,8,7,9,8,7,9,8,7,7,9,0,9,8,5,6,9,8,6,6,8,9,7,7,9,8,7,7,9,8,6,9,7,4,9,8,6,8,9,8,6,8,9,9,8,8,8,7,5,6,9,9,8,8,7,7,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
NumberUtils_ESTest::test061 ,4,2,1,4,6,2,4,2,2,2,2,2,1,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,3,5,1,4,10,1,4,8,4,1,9,0,3,7,6,1,4,7,7,3,0,5,5,1,4,8,5,1,4,8,1,4,8,0,3,6,5,1,4,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test062 ,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,4,2,9,4,2,6,2,4,8,3,0,5,4,4,2,6,6,1,3,4,4,4,2,7,4,4,2,7,4,2,7,3,0,4,3,4,2,5,5,4,4,8,5,6,7,7,7,4,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test063 ,7,7,7,7,7,6,7,6,6,7,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,6,7,7,6,7,5,7,5,7,5,0,2,7,6,4,4,6,7,6,6,7,6,8,6,7,6,7,7,5,7,7,5,2,4,7,6,4,6,7,7,7,7,7,6,4,5,7,7,7,7,6,6,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
NumberUtils_ESTest::test064 ,6,6,6,6,6,5,6,5,5,6,5,5,5,6,6,5,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,6,5,8,6,5,7,5,6,6,6,4,2,0,6,5,5,4,5,6,5,5,6,5,8,5,6,5,7,6,5,7,6,4,1,2,6,5,5,6,6,6,7,6,5,6,5,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
NumberUtils_ESTest::test065 ,4,2,1,4,5,2,4,2,2,2,2,2,1,1,2,2,3,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,5,0,3,10,0,3,8,3,0,9,1,4,7,6,0,3,7,7,4,1,5,5,0,3,8,5,0,3,8,0,3,8,1,4,6,5,0,3,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test066 ,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,1,8,3,1,7,1,3,8,4,2,6,5,3,0,5,5,2,4,4,4,3,1,7,4,3,1,7,3,1,7,4,2,5,4,3,0,5,4,4,4,8,5,6,7,7,7,4,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test067 ,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,5,7,6,7,6,7,6,7,6,4,5,7,5,0,4,6,7,6,6,7,6,8,6,7,6,7,7,6,7,7,6,5,6,7,5,2,5,7,7,7,7,7,6,5,5,7,7,7,7,6,6,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
NumberUtils_ESTest::test068 ,6,7,7,7,7,6,7,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,6,7,7,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,6,7,6,7,7,6,7,6,7,6,7,6,4,4,7,5,4,0,6,7,6,6,7,6,7,6,7,6,7,7,6,8,7,6,4,6,7,5,4,2,7,7,7,7,7,6,5,6,7,7,7,6,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
NumberUtils_ESTest::test069 ,3,4,4,4,6,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,3,4,2,9,4,2,7,2,4,8,3,1,6,5,4,2,6,6,0,3,3,4,4,2,7,4,4,2,7,4,2,7,3,1,5,4,4,2,6,5,4,4,8,5,6,7,7,7,4,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
NumberUtils_ESTest::test070 ,4,2,1,4,6,2,4,2,2,2,2,2,1,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,3,5,1,4,10,1,4,8,4,1,9,0,3,7,6,1,4,7,7,3,0,5,5,1,4,8,5,1,4,8,1,4,8,0,3,6,5,1,4,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test071 ,4,5,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,5,4,9,5,4,7,4,5,7,5,4,6,5,5,4,6,6,3,5,0,4,5,4,7,3,5,4,7,5,4,6,5,4,5,3,5,4,6,5,5,5,8,5,6,7,7,7,5,5,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
NumberUtils_ESTest::test072 ,5,5,5,5,5,3,5,4,3,5,3,3,4,5,5,3,4,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,5,3,7,5,3,6,4,5,7,5,4,6,5,5,4,6,6,4,5,4,0,5,3,3,2,5,3,5,5,4,6,5,4,5,4,5,4,6,5,5,4,7,4,5,6,6,6,4,5,4,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
NumberUtils_ESTest::test073 ,4,2,1,4,5,2,4,2,2,2,2,2,1,1,2,2,3,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,4,5,0,3,10,0,3,8,3,0,9,1,4,7,6,0,3,7,7,4,1,5,5,0,3,8,5,0,3,8,0,3,8,1,4,6,5,0,3,7,6,2,2,8,5,6,7,7,7,2,2,5,7,7,7,7,7,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
NumberUtils_ESTest::test074 ,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,3,4,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,0,8,3,1,7,1,3,8,4,2,6,5,3,1,6,6,2,4,4,3,3,0,6,4,3,1,7,3,1,7,4,2,5,4,3,1,6,5,4,3,8,5,6,7,7,7,3,4,5,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
