:,FractionTest::testAbs,FractionTest::testAdd,FractionTest::testCompareTo,FractionTest::testConstants,FractionTest::testConversions,FractionTest::testDivide,FractionTest::testEquals,FractionTest::testFactory_String,FractionTest::testFactory_String_double,FractionTest::testFactory_String_improper,FractionTest::testFactory_String_proper,FractionTest::testFactory_double,FractionTest::testFactory_int_int,FractionTest::testFactory_int_int_int,FractionTest::testGets,FractionTest::testHashCode,FractionTest::testInvert,FractionTest::testMultiply,FractionTest::testNegate,FractionTest::testPow,FractionTest::testReduce,FractionTest::testReducedFactory_int_int,FractionTest::testSubtract,FractionTest::testToProperString,FractionTest::testToString,
FractionTest::testAbs ,0,68,32,24,19,23,23,21,20,20,17,32,55,68,17,19,13,50,5,99,25,67,65,16,17,
FractionTest::testAdd ,68,0,59,68,76,60,64,80,75,72,71,64,66,66,62,70,69,58,72,78,64,67,41,68,71,
FractionTest::testCompareTo ,32,59,0,32,35,27,24,38,33,32,33,34,51,61,28,26,31,51,36,89,33,63,52,29,30,
FractionTest::testConstants ,24,68,32,0,20,22,22,24,18,14,17,30,53,68,22,20,23,54,24,101,33,66,61,21,20,
FractionTest::testConversions ,19,76,35,20,0,26,22,6,7,10,13,34,61,77,21,13,21,57,15,107,35,74,69,17,12,
FractionTest::testDivide ,23,60,27,22,26,0,22,29,26,23,23,32,56,67,22,23,24,39,26,92,29,65,51,22,21,
FractionTest::testEquals ,23,64,24,22,22,22,0,26,21,22,20,31,54,69,19,17,23,49,23,95,31,67,59,21,20,
FractionTest::testFactory_String ,21,80,38,24,6,29,26,0,8,13,17,38,65,81,26,16,25,61,17,112,39,79,74,22,15,
FractionTest::testFactory_String_double ,20,75,33,18,7,26,21,8,0,5,12,31,58,74,24,12,24,59,17,104,35,71,69,19,12,
FractionTest::testFactory_String_improper ,20,72,32,14,10,23,22,13,5,0,10,30,54,70,22,12,22,56,16,102,33,68,66,18,12,
FractionTest::testFactory_String_proper ,17,71,33,17,13,23,20,17,12,10,0,31,55,70,18,14,18,52,14,101,30,67,65,16,14,
FractionTest::testFactory_double ,32,64,34,30,34,32,31,38,31,30,31,0,53,69,32,33,32,55,34,97,36,63,58,31,31,
FractionTest::testFactory_int_int ,55,66,51,53,61,56,54,65,58,54,55,53,0,44,51,56,52,50,56,80,50,51,61,57,59,
FractionTest::testFactory_int_int_int ,68,66,61,68,77,67,69,81,74,70,70,69,44,0,66,73,68,59,72,75,61,59,65,70,71,
FractionTest::testGets ,17,62,28,22,21,22,19,26,24,22,18,32,51,66,0,18,17,42,17,91,25,62,59,16,19,
FractionTest::testHashCode ,19,70,26,20,13,23,17,16,12,12,14,33,56,73,18,0,23,54,16,99,33,68,63,17,12,
FractionTest::testInvert ,13,69,31,23,21,24,23,25,24,22,18,32,52,68,17,23,0,48,14,97,25,66,63,18,19,
FractionTest::testMultiply ,50,58,51,54,57,39,49,61,59,56,52,55,50,59,42,54,48,0,53,75,45,56,53,50,52,
FractionTest::testNegate ,5,72,36,24,15,26,23,17,17,16,14,34,56,72,17,16,14,53,0,103,28,70,68,17,15,
FractionTest::testPow ,99,78,89,101,107,92,95,112,104,102,101,97,80,75,91,99,97,75,103,0,86,85,81,98,101,
FractionTest::testReduce ,25,64,33,33,35,29,31,39,35,33,30,36,50,61,25,33,25,45,28,86,0,60,60,30,31,
FractionTest::testReducedFactory_int_int ,67,67,63,66,74,65,67,79,71,68,67,63,51,59,62,68,66,56,70,85,60,0,63,66,68,
FractionTest::testSubtract ,65,41,52,61,69,51,59,74,69,66,65,58,61,65,59,63,63,53,68,81,60,63,0,61,64,
FractionTest::testToProperString ,16,68,29,21,17,22,21,22,19,18,16,31,57,70,16,17,18,50,17,98,30,66,61,0,7,
FractionTest::testToString ,17,71,30,20,12,21,20,15,12,12,14,31,59,71,19,12,19,52,15,101,31,68,64,7,0,
