:,NumberUtilsTest::testCompareDouble,NumberUtilsTest::testCompareFloat,NumberUtilsTest::testConstructor,NumberUtilsTest::testCreateBigDecimal,NumberUtilsTest::testCreateBigInteger,NumberUtilsTest::testCreateDouble,NumberUtilsTest::testCreateFloat,NumberUtilsTest::testCreateInteger,NumberUtilsTest::testCreateLong,NumberUtilsTest::testCreateNumber,NumberUtilsTest::testIsDigits,NumberUtilsTest::testIsNumber,NumberUtilsTest::testLang300,NumberUtilsTest::testLang381,NumberUtilsTest::testMaxByte,NumberUtilsTest::testMaxByte_emptyArray,NumberUtilsTest::testMaxByte_nullArray,NumberUtilsTest::testMaxDouble,NumberUtilsTest::testMaxDouble_emptyArray,NumberUtilsTest::testMaxDouble_nullArray,NumberUtilsTest::testMaxFloat,NumberUtilsTest::testMaxFloat_emptyArray,NumberUtilsTest::testMaxFloat_nullArray,NumberUtilsTest::testMaxInt,NumberUtilsTest::testMaxInt_emptyArray,NumberUtilsTest::testMaxInt_nullArray,NumberUtilsTest::testMaxLong,NumberUtilsTest::testMaxLong_emptyArray,NumberUtilsTest::testMaxLong_nullArray,NumberUtilsTest::testMaxShort,NumberUtilsTest::testMaxShort_emptyArray,NumberUtilsTest::testMaxShort_nullArray,NumberUtilsTest::testMaximumByte,NumberUtilsTest::testMaximumDouble,NumberUtilsTest::testMaximumFloat,NumberUtilsTest::testMaximumInt,NumberUtilsTest::testMaximumLong,NumberUtilsTest::testMaximumShort,NumberUtilsTest::testMinByte,NumberUtilsTest::testMinByte_emptyArray,NumberUtilsTest::testMinByte_nullArray,NumberUtilsTest::testMinDouble,NumberUtilsTest::testMinDouble_emptyArray,NumberUtilsTest::testMinDouble_nullArray,NumberUtilsTest::testMinFloat,NumberUtilsTest::testMinFloat_emptyArray,NumberUtilsTest::testMinFloat_nullArray,NumberUtilsTest::testMinInt,NumberUtilsTest::testMinInt_emptyArray,NumberUtilsTest::testMinInt_nullArray,NumberUtilsTest::testMinLong,NumberUtilsTest::testMinLong_emptyArray,NumberUtilsTest::testMinLong_nullArray,NumberUtilsTest::testMinShort,NumberUtilsTest::testMinShort_emptyArray,NumberUtilsTest::testMinShort_nullArray,NumberUtilsTest::testMinimumByte,NumberUtilsTest::testMinimumDouble,NumberUtilsTest::testMinimumFloat,NumberUtilsTest::testMinimumInt,NumberUtilsTest::testMinimumLong,NumberUtilsTest::testMinimumShort,NumberUtilsTest::testStringToDoubleString,NumberUtilsTest::testStringToDoubleStringD,NumberUtilsTest::testToByteString,NumberUtilsTest::testToByteStringI,NumberUtilsTest::testToFloatString,NumberUtilsTest::testToFloatStringF,NumberUtilsTest::testToIntString,NumberUtilsTest::testToIntStringI,NumberUtilsTest::testToLongString,NumberUtilsTest::testToLongStringL,NumberUtilsTest::testToShortString,NumberUtilsTest::testToShortStringI,
NumberUtilsTest::testCompareDouble ,0,18,251,252,252,252,252,252,252,244,252,156,252,244,239,251,252,235,251,252,242,251,252,239,251,252,242,251,252,239,251,252,252,252,252,252,252,252,242,251,252,236,251,252,242,251,252,242,251,252,244,251,252,242,251,252,252,252,252,252,252,252,235,248,244,248,238,248,244,248,236,248,244,248,
NumberUtilsTest::testCompareFloat ,18,0,251,252,252,252,252,252,252,244,252,156,252,244,239,251,252,241,251,252,236,251,252,239,251,252,237,250,252,239,251,252,252,252,252,252,252,252,242,251,252,242,251,252,236,251,252,242,251,252,240,250,252,242,251,252,252,252,252,252,252,252,238,248,244,248,235,248,244,248,236,248,244,248,
NumberUtilsTest::testConstructor ,251,251,0,5,5,6,6,6,6,12,6,96,6,94,99,6,6,79,6,6,73,6,6,99,6,6,70,6,6,99,6,6,13,6,6,34,6,13,72,6,6,73,6,6,73,6,6,72,6,6,51,6,6,72,6,6,13,6,6,34,6,13,24,6,10,8,24,6,10,8,29,6,10,8,
NumberUtilsTest::testCreateBigDecimal ,252,252,5,0,0,1,1,1,1,11,2,97,3,95,102,4,2,80,4,2,74,4,2,102,4,2,71,4,2,102,4,2,14,3,3,35,3,14,75,4,2,74,4,2,74,4,2,75,4,2,52,4,2,75,4,2,14,3,3,35,3,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateBigInteger ,252,252,5,0,0,1,1,1,1,11,2,97,3,95,102,4,2,80,4,2,74,4,2,102,4,2,71,4,2,102,4,2,14,3,3,35,3,14,75,4,2,74,4,2,74,4,2,75,4,2,52,4,2,75,4,2,14,3,3,35,3,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateDouble ,252,252,6,1,1,0,0,0,0,11,1,96,3,96,103,4,1,80,4,1,75,4,1,103,4,1,72,4,1,103,4,1,14,2,2,35,2,14,76,4,1,75,4,1,75,4,1,76,4,1,53,4,1,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateFloat ,252,252,6,1,1,0,0,0,0,11,1,96,3,96,103,4,1,80,4,1,75,4,1,103,4,1,72,4,1,103,4,1,14,2,2,35,2,14,76,4,1,75,4,1,75,4,1,76,4,1,53,4,1,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateInteger ,252,252,6,1,1,0,0,0,0,11,1,96,3,96,103,4,1,80,4,1,75,4,1,103,4,1,72,4,1,103,4,1,14,2,2,35,2,14,76,4,1,75,4,1,75,4,1,76,4,1,53,4,1,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateLong ,252,252,6,1,1,0,0,0,0,11,1,96,3,96,103,4,1,80,4,1,75,4,1,103,4,1,72,4,1,103,4,1,14,2,2,35,2,14,76,4,1,75,4,1,75,4,1,76,4,1,53,4,1,76,4,1,14,2,2,35,2,14,24,6,10,9,24,6,10,9,29,6,10,9,
NumberUtilsTest::testCreateNumber ,244,244,12,11,11,11,11,11,11,0,12,89,13,86,92,12,12,70,12,12,64,12,12,92,12,12,61,12,12,92,12,12,14,13,13,35,13,14,66,12,12,64,12,12,64,12,12,66,12,12,43,12,12,66,12,12,14,13,13,35,13,14,16,9,6,10,16,9,6,10,21,9,6,10,
