Class::Test , 77::PrimitiveReturnsMutator::17 , 150::NullReturnValsMutator::30 , 229::ConditionalsBoundaryMutator::37 , 230::MathMutator::48 , 223::NegateConditionalsMutator::12 , 229::NegateConditionalsMutator::37 , 233::NullReturnValsMutator::57 , 172::ConditionalsBoundaryMutator::25 , 172::NegateConditionalsMutator::25 , 175::NullReturnValsMutator::44 , 65::NullReturnValsMutator::10 , 102::MathMutator::7 , 102::PrimitiveReturnsMutator::8 , 92::MathMutator::8 , 92::PrimitiveReturnsMutator::10 , 111::NullReturnValsMutator::6 , 201::VoidMethodCallMutator::5 , 203::NullReturnValsMutator::11 , 251::NegateConditionalsMutator::22 , 270::ConditionalsBoundaryMutator::25 , 267::NegateConditionalsMutator::5 , 270::NegateConditionalsMutator::25 , 271::VoidMethodCallMutator::36 , 273::NullReturnValsMutator::44 , 276::NullReturnValsMutator::56 , 52::NegateConditionalsMutator::11 , 66::NullReturnValsMutator::6 
AbstractLeastSquaresOptimizerTest::testComputeSigma , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 
AbstractLeastSquaresOptimizerTest::testGetChiSquare , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 
AbstractLeastSquaresOptimizerTest::testGetRMS , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 
AbstractLeastSquaresOptimizerTestValidation::testParametersErrorMonteCarloObservations , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 
AbstractLeastSquaresOptimizerTestValidation::testParametersErrorMonteCarloParameters , 0 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 , 1 , 
AbstractLeastSquaresOptimizer_ESTest::test0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
AbstractLeastSquaresOptimizer_ESTest::test2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
AbstractLeastSquaresOptimizer_ESTest::test3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
AbstractLeastSquaresOptimizer_ESTest::test6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 1 , 
AbstractLeastSquaresOptimizer_ESTest::test7 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 
Weight_ESTest::test0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 
Weight_ESTest::test1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 
Weight_ESTest::test2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 
