math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST-TEXT,2.61,3.29,0.96,1.59,3.58,1.02,2.69,1.65,3.82,1.7,0.14,1.79,3.52,2.12,5.05,6.21,0.6,1.9,1.1,0.56,5.96,0.42,6.31,4.4,3.86,6.28,1.41,5.22,1.32,1.31,1.34,1.63,0.78,1.51,2.99,4.98,10.39,8.4,0.6,1.48,0.58,0.53
FAST-BYTECODE,5.46,5.77,0.69,0.62,1.38,0.2,1.13,0.42,1.42,0.43,0.03,0.53,1.34,0.54,2.76,3.88,0.04,0.36,0.27,0.04,3.94,0.15,4.01,2.55,1.6,3.06,0.48,3.25,0.46,0.29,0.96,0.49,0.14,0.35,1.19,2.06,6.41,4.75,0.08,0.37,0.03,0.03
FAST-FILTER,0.86,1.16,0.14,0.15,0.66,0.09,0.61,0.22,0.98,0.25,0.01,0.21,0.72,0.3,2.2,3.29,0.02,0.14,0.07,0.02,3.07,0.06,3.3,1.33,1.09,2.45,0.17,2.57,0.19,0.11,0.2,0.24,0.07,0.21,0.74,1.22,5.72,4.06,0.03,0.19,0.02,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDRU-TEXT,31752.72,7945.15,262.54,11518.18,27123.9,470.91,9002.56,2796.78,10755.18,2184.42,2.44,5257.34,16972.98,5017.64,16518.44,10698.14,6,2798.69,2593.66,13.02,15417.18,363.49,14089.59,31858.26,5347.53,11004.89,4363.41,11537.88,2885.98,1867.85,426.98,3972.98,205.91,780.73,10962.19,35168.11,20452.99,14602,106.89,1227.87,8.33,9.19
LEDRU-BYTECODE,33.55,54.06,0.94,17.31,45.01,0.99,31.2,4.99,39.88,4.6,0.04,6.87,40.54,7.4,166.1,294.48,0.07,5.13,1.96,0.09,266.61,0.83,287.69,151.72,52.24,209.07,10.03,212.99,13.01,3.08,2.56,6.23,0.53,2.29,30.3,105.42,762.11,453.7,0.24,3.21,0.04,0.04
LEDRU-FILTER,9.6,44.17,0.54,4.87,16.95,0.43,16.8,2.22,30.1,2.28,0.02,2.52,21.92,3.83,149.1,278.79,0.06,1.84,0.42,0.05,243.51,0.34,265.54,85.07,41.71,187.13,3.81,193.83,5.58,1.13,1.67,2.46,0.23,1.5,17.77,59.8,715.34,418.29,0.1,1.53,0.03,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
