:,HtmlParserTest::associatedFormControlsWithDisjointForms,HtmlParserTest::commentBeforeHtml,HtmlParserTest::createsDocumentStructure,HtmlParserTest::createsFormElements,HtmlParserTest::createsStructureFromBodySnippet,HtmlParserTest::discardsNakedTds,HtmlParserTest::doesNotCreateImplicitLists,HtmlParserTest::doesNotFindShortestMatchingEntity,HtmlParserTest::dropsUnterminatedAttribute,HtmlParserTest::dropsUnterminatedTag,HtmlParserTest::emptyTdTag,HtmlParserTest::findsCharsetInMalformedMeta,HtmlParserTest::handleNullContextInParseFragment,HtmlParserTest::handles0CharacterAsText,HtmlParserTest::handlesBaseTags,HtmlParserTest::handlesBaseWithoutHref,HtmlParserTest::handlesBlocksInDefinitions,HtmlParserTest::handlesCdata,HtmlParserTest::handlesCommentsInTable,HtmlParserTest::handlesDataOnlyTags,HtmlParserTest::handlesEscapedData,HtmlParserTest::handlesEscapedScript,HtmlParserTest::handlesFrames,HtmlParserTest::handlesImplicitCaptionClose,HtmlParserTest::handlesInvalidStartTags,HtmlParserTest::handlesJavadocFont,HtmlParserTest::handlesKnownEmptyBlocks,HtmlParserTest::handlesMisnestedTagsBI,HtmlParserTest::handlesMisnestedTagsBP,HtmlParserTest::handlesMultiClosingBody,HtmlParserTest::handlesNestedImplicitTable,HtmlParserTest::handlesNewlinesAndWhitespaceInTag,HtmlParserTest::handlesNullInComments,HtmlParserTest::handlesNullInData,HtmlParserTest::handlesQuotesInCommentsInScripts,HtmlParserTest::handlesSolidusAtAttributeEnd,HtmlParserTest::handlesSolidusInA,HtmlParserTest::handlesSpanInTbody,HtmlParserTest::handlesTagsInTextarea,HtmlParserTest::handlesTbodyTable,HtmlParserTest::handlesTextAfterData,HtmlParserTest::handlesTextArea,HtmlParserTest::handlesUnclosedDefinitionLists,HtmlParserTest::handlesUnclosedFormattingElements,HtmlParserTest::handlesUnclosedRawtextAtEof,HtmlParserTest::handlesUnclosedScriptAtEof,HtmlParserTest::handlesUnclosedTitle,HtmlParserTest::handlesUnclosedTitleAtEof,HtmlParserTest::handlesUnexpectedMarkupInTables,HtmlParserTest::handlesUnknownInlineTags,HtmlParserTest::handlesUnknownNamespaceTags,HtmlParserTest::handlesUnknownTags,HtmlParserTest::handlesWhatWgExpensesTableExample,HtmlParserTest::handlesWhitespaceInoDocType,HtmlParserTest::handlesXmlDeclarationAsBogusComment,HtmlParserTest::ignoresContentAfterFrameset,HtmlParserTest::ignoresDupeEndTrTag,HtmlParserTest::noErrorsByDefault,HtmlParserTest::noImplicitFormForTextAreas,HtmlParserTest::noTableDirectInTable,HtmlParserTest::normalisedBodyAfterContent,HtmlParserTest::normalisesDocument,HtmlParserTest::normalisesEmptyDocument,HtmlParserTest::normalisesHeadlessBody,HtmlParserTest::parsesBodyFragment,HtmlParserTest::parsesComments,HtmlParserTest::parsesQuiteRoughAttributes,HtmlParserTest::parsesRoughAttributes,HtmlParserTest::parsesSimpleDocument,HtmlParserTest::parsesUnterminatedComments,HtmlParserTest::parsesUnterminatedOption,HtmlParserTest::parsesUnterminatedTextarea,HtmlParserTest::preservesSpaceInScript,HtmlParserTest::preservesSpaceInTextArea,HtmlParserTest::reconstructFormattingElements,HtmlParserTest::reconstructFormattingElementsInTable,HtmlParserTest::relaxedBaseEntityMatchAndStrictExtendedMatch,HtmlParserTest::testAFlowContents,HtmlParserTest::testFontFlowContents,HtmlParserTest::testHeaderContents,HtmlParserTest::testHgroup,HtmlParserTest::testNoImagesInNoScriptInHead,HtmlParserTest::testRelaxedTags,HtmlParserTest::testSpaceAfterTag,HtmlParserTest::testSpanContents,HtmlParserTest::tracksErrorsWhenRequested,HtmlParserTest::tracksLimitedErrorsWhenRequested,
HtmlParserTest::associatedFormControlsWithDisjointForms ,0,3,9,0,3,3,10,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,
HtmlParserTest::commentBeforeHtml ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::createsDocumentStructure ,9,11,0,9,11,11,7,11,11,9,11,11,7,11,8,11,11,8,11,9,10,11,11,11,11,8,11,11,11,9,11,11,11,11,11,11,11,8,11,11,11,11,8,10,11,11,11,11,11,11,11,10,11,10,11,11,11,9,11,11,11,11,11,11,11,10,11,10,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,
HtmlParserTest::createsFormElements ,0,3,9,0,3,3,10,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,
HtmlParserTest::createsStructureFromBodySnippet ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::discardsNakedTds ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::doesNotCreateImplicitLists ,10,12,7,10,12,12,0,12,12,10,12,12,9,12,11,12,12,8,12,11,11,12,12,12,12,11,12,12,12,10,12,12,12,12,12,12,12,8,12,12,12,12,8,11,12,12,12,12,12,12,12,11,12,11,12,12,12,10,12,12,12,12,12,12,12,11,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,
HtmlParserTest::doesNotFindShortestMatchingEntity ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::dropsUnterminatedAttribute ,3,0,11,3,0,0,12,0,0,2,0,0,5,0,7,0,0,4,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,1,2,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,8,5,
HtmlParserTest::dropsUnterminatedTag ,3,2,9,3,2,2,10,2,2,0,2,2,4,2,7,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,0,2,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,4,
