:,Whitelist_ESTest::test00,Whitelist_ESTest::test01,Whitelist_ESTest::test02,Whitelist_ESTest::test03,Whitelist_ESTest::test04,Whitelist_ESTest::test05,Whitelist_ESTest::test06,Whitelist_ESTest::test07,Whitelist_ESTest::test08,Whitelist_ESTest::test09,Whitelist_ESTest::test10,Whitelist_ESTest::test11,Whitelist_ESTest::test12,Whitelist_ESTest::test13,Whitelist_ESTest::test14,Whitelist_ESTest::test15,
Whitelist_ESTest::test00 ,0,3,3,3,5,3,3,3,2,1,4,3,3,3,3,3,
Whitelist_ESTest::test01 ,3,0,1,1,6,1,1,5,4,3,6,1,0,1,1,1,
Whitelist_ESTest::test02 ,3,1,0,2,7,2,0,6,5,4,7,0,1,0,1,0,
Whitelist_ESTest::test03 ,3,1,2,0,6,1,2,5,4,4,6,2,1,2,1,2,
Whitelist_ESTest::test04 ,5,6,7,6,0,5,7,3,3,5,3,7,6,7,7,7,
Whitelist_ESTest::test05 ,3,1,2,1,5,0,2,4,3,4,5,2,1,2,2,2,
Whitelist_ESTest::test06 ,3,1,0,2,7,2,0,6,5,4,7,0,1,0,1,0,
Whitelist_ESTest::test07 ,3,5,6,5,3,4,6,0,1,2,1,6,5,6,6,6,
Whitelist_ESTest::test08 ,2,4,5,4,3,3,5,1,0,2,2,5,4,5,5,5,
Whitelist_ESTest::test09 ,1,3,4,4,5,4,4,2,2,0,3,4,3,4,4,4,
Whitelist_ESTest::test10 ,4,6,7,6,3,5,7,1,2,3,0,7,6,7,7,7,
Whitelist_ESTest::test11 ,3,1,0,2,7,2,0,6,5,4,7,0,1,0,1,0,
Whitelist_ESTest::test12 ,3,0,1,1,6,1,1,5,4,3,6,1,0,1,1,1,
Whitelist_ESTest::test13 ,3,1,0,2,7,2,0,6,5,4,7,0,1,0,1,0,
Whitelist_ESTest::test14 ,3,1,1,1,7,2,1,6,5,4,7,1,1,1,0,1,
Whitelist_ESTest::test15 ,3,1,0,2,7,2,0,6,5,4,7,0,1,0,1,0,
