:,DocumentTest::setTextPreservesDocumentStructure,DocumentTest::testClone,DocumentTest::testClonesDeclarations,DocumentTest::testNormalisesStructure,DocumentTest::testOutputEncoding,DocumentTest::testTitles,DocumentTest::testXhtmlReferences,DocumentTypeTest::constructorValidationOkWithBlankPublicAndSystemIds,DocumentTypeTest::constructorValidationThrowsExceptionOnBlankName,DocumentTypeTest::constructorValidationThrowsExceptionOnNulls,DocumentTypeTest::outerHtmlGeneration,
DocumentTest::setTextPreservesDocumentStructure ,0,2,3,3,2,3,2,3,3,3,4,
DocumentTest::testClone ,2,0,1,1,1,1,0,1,1,3,4,
DocumentTest::testClonesDeclarations ,3,1,0,0,2,0,1,1,1,3,4,
DocumentTest::testNormalisesStructure ,3,1,0,0,2,0,1,1,1,3,4,
DocumentTest::testOutputEncoding ,2,1,2,2,0,2,1,2,2,3,4,
DocumentTest::testTitles ,3,1,0,0,2,0,1,1,1,3,4,
DocumentTest::testXhtmlReferences ,2,0,1,1,1,1,0,1,1,3,4,
DocumentTypeTest::constructorValidationOkWithBlankPublicAndSystemIds ,3,1,1,1,2,1,1,0,0,2,3,
DocumentTypeTest::constructorValidationThrowsExceptionOnBlankName ,3,1,1,1,2,1,1,0,0,2,3,
DocumentTypeTest::constructorValidationThrowsExceptionOnNulls ,3,3,3,3,3,3,3,2,2,0,3,
DocumentTypeTest::outerHtmlGeneration ,4,4,4,4,4,4,4,3,3,3,0,
