:,Document_ESTest::test00,Document_ESTest::test01,Document_ESTest::test02,Document_ESTest::test03,Document_ESTest::test04,Document_ESTest::test05,Document_ESTest::test06,Document_ESTest::test07,Document_ESTest::test08,Document_ESTest::test09,Document_ESTest::test10,Document_ESTest::test11,Document_ESTest::test12,Document_ESTest::test13,Document_ESTest::test14,Document_ESTest::test15,Document_ESTest::test16,
Document_ESTest::test00 ,0,0,3,2,2,0,0,2,1,1,1,1,1,2,1,3,4,
Document_ESTest::test01 ,0,0,3,2,2,0,0,2,1,1,1,1,1,2,1,3,4,
Document_ESTest::test02 ,3,3,0,3,1,3,3,3,4,2,4,2,2,3,2,3,3,
Document_ESTest::test03 ,2,2,3,0,2,2,2,2,3,1,3,1,1,2,1,2,3,
Document_ESTest::test04 ,2,2,1,2,0,2,2,3,3,2,3,2,2,3,2,3,3,
Document_ESTest::test05 ,0,0,3,2,2,0,0,2,1,1,1,1,1,2,1,3,4,
Document_ESTest::test06 ,0,0,3,2,2,0,0,2,1,1,1,1,1,2,1,3,4,
Document_ESTest::test07 ,2,2,3,2,3,2,2,0,2,1,2,1,1,1,1,3,4,
Document_ESTest::test08 ,1,1,4,3,3,1,1,2,0,2,0,2,2,2,2,4,5,
Document_ESTest::test09 ,1,1,2,1,2,1,1,1,2,0,2,0,0,1,0,2,3,
Document_ESTest::test10 ,1,1,4,3,3,1,1,2,0,2,0,2,2,2,2,4,5,
Document_ESTest::test11 ,1,1,2,1,2,1,1,1,2,0,2,0,0,1,0,2,3,
Document_ESTest::test12 ,1,1,2,1,2,1,1,1,2,0,2,0,0,1,0,2,3,
Document_ESTest::test13 ,2,2,3,2,3,2,2,1,2,1,2,1,1,0,1,3,4,
Document_ESTest::test14 ,1,1,2,1,2,1,1,1,2,0,2,0,0,1,0,2,3,
Document_ESTest::test15 ,3,3,3,2,3,3,3,3,4,2,4,2,2,3,2,0,2,
Document_ESTest::test16 ,4,4,3,3,3,4,4,4,5,3,5,3,3,4,3,2,0,
